dos

index	start	stop
1	15408	15408
2	17765	17811
3	22267	22874
4	26925	27017
5	31658	32159
6	40693	41472
7	57902	57912
8	58070	58071
9	60918	61587
10	61924	61924
11	68098	68509
12	69079	69180
13	69821	70721
14	71235	71276
split
15	71494	71614
16	73578	74103
17	74916	75009
18	79938	80143
19	80500	80599
20	82738	82740
21	87114	87118
22	90955	91572
23	102210	103139
24	115815	115856
25	124169	124170
26	134767	134776
27	140688	140733
28	142484	142593


probe

1	4428	5604
2	7132	7373
3	11150	11451
4	13309	13609
5	18038	18719
6	21126	21600
7	33484	34254
8	35337	36084
9	38313	38584
10	49188	49193
11	51795	54332
12	56802	57321
13	58791	59668
14	62742	63663
15	70861	71092
16	72016	72240

split

17	78721	79371
18	81631	82214
19	96743	97642
20	99174	99747
21	109906	110875
22	111584	111675
23	113372	114743
24	123845	123997
25	127518	127580
26	127724	127755
27	135932	137019
28	141410	142482
29	143053	143830




u2r

1	1115	3880
2	42650	42992
3	44389	47100
4	75834	77065
5	83999	86977
6	88438	89657
7	91573	93406

split

8	94391	95658
9	101022	101344
10	103380	103560
11	104017	104197
12	107612	109516
13	115896	116363
14	118834	121244
15	124765	126081
16	128518	129047
17	129366	129624
18	132201	134461
19	137668	140294



r2l  attacks are significantly shorter. this may explain less usefulness for time windows

1	4080	4427
2	5648	5973
3	7579	7656
4	8927	10938
5	12948	13097
6	13992	14014
7	14440	14785
8	15242	15295
9	16485	17502
10	17595	17627
11	19547	19636
12	20092	20404
13	20889	21008
14	23608	23675
15	24099	24463
16	25511	26141
17	27257	27345
18	28317	29142
19	30188	30350
20	30598	30621
21	30836	30968
22	35022	35337
23	37123	37202
24	37552	37767
25	39003	39091
26	39349	39602

split

27	56158	56216
28	65638	66633
29	74363	74564
30	77961	78046
31	82364	82447
32	95735	95760
33	97643	98451
34	101510	101614
35	105707	107611
36	112131	112437
37	127896	127958
38	131001	131012
39	140429	140512







