"R"," R", "163097","09:09:45.325407","","","ARP","60","172.16.0.1 is at 00:10:7b:38:46:33"
"R"," R", "163098","09:09:47.906381","","","LOOP","60","Reply"
"R"," R", "163099","09:09:48.261063","172.16.112.50","172.16.112.10","NTP","90","NTP Version 3, client"
"R"," R", "163100","09:09:48.261546","172.16.112.10","172.16.112.50","NTP","90","NTP Version 3, server"
"R"," R", "163101","09:09:50.321966","172.16.112.20","172.16.255.255","RIPv1","66","Response"
"R"," R", "163102","09:09:50.322188","172.16.112.20","172.16.118.255","RIPv1","66","Response"
"R"," R", "163103","09:09:54.751430","172.16.112.149","135.13.216.191","TELNET","60","Telnet Data ..."
"R"," R", "163104","09:09:54.752411","135.13.216.191","172.16.112.149","TELNET","60","Telnet Data ..."
"R"," R", "163105","09:09:54.770284","172.16.112.149","135.13.216.191","TCP","60","3233 → 23 [ACK] Seq=183 Ack=1771 Win=32120 Len=0"
"R"," R", "163106","09:09:55.050328","172.16.112.149","135.13.216.191","TELNET","60","Telnet Data ..."
"R"," R", "163107","09:09:55.051461","135.13.216.191","172.16.112.149","TELNET","60","Telnet Data ..."
"R"," R", "163108","09:09:55.070217","172.16.112.149","135.13.216.191","TCP","60","3233 → 23 [ACK] Seq=184 Ack=1772 Win=32120 Len=0"
"R"," R", "163109","09:09:55.177890","195.115.218.108","172.16.113.105","TCP","60","4823 → 25 [SYN] Seq=0 Win=512 Len=0 MSS=1460"
"R"," R", "163110","09:09:55.178164","172.16.113.105","195.115.218.108","TCP","60","25 → 4823 [SYN, ACK] Seq=0 Ack=1 Win=32736 Len=0 MSS=1460"
"R"," R", "163111","09:09:55.178925","195.115.218.108","172.16.113.105","TCP","60","4823 → 25 [ACK] Seq=1 Ack=1 Win=32120 Len=0"
"R"," R", "163112","09:09:55.214463","172.16.113.105","195.115.218.108","SMTP","139","S: 220 swallow.eyrie.af.mil ESMTP Sendmail 8.8.7/8.8.7; Wed, 7 Apr 1999 09:09:59 -0400"
"R"," R", "163113","09:09:55.231137","195.115.218.108","172.16.113.105","TCP","60","4823 → 25 [ACK] Seq=1 Ack=86 Win=32120 Len=0"
"R"," R", "163114","09:09:55.250375","195.115.218.108","172.16.113.105","SMTP","77","C: EHLO epsilon.pear.com"
"R"," R", "163115","09:09:55.250716","172.16.113.105","195.115.218.108","SMTP","80","S: 500 Command unrecognized"
"R"," R", "163116","09:09:55.251755","195.115.218.108","172.16.113.105","SMTP","77","C: HELO epsilon.pear.com"
"R"," R", "163117","09:09:55.251990","172.16.113.105","195.115.218.108","SMTP","99","S: 250 (epsilon.pear.com) pleased to meet you."
"R"," R", "163118","09:09:55.252880","195.115.218.108","172.16.113.105","SMTP","93","C: MAIL From:<ariellen@epsilon.pear.com>"
"R"," R", "163119","09:09:55.253113","172.16.113.105","195.115.218.108","SMTP","100","S: 250 <ariellen@epsilon.pear.com>... Sender Ok"
"R"," R", "163120","09:09:55.254027","195.115.218.108","172.16.113.105","SMTP","92","C: RCPT To:<gigib@swallow.eyrie.af.mil>"
"R"," R", "163121","09:09:55.254248","172.16.113.105","195.115.218.108","SMTP","91","S: 250 <gigib@swallow.eyrie.af.mil> OK"
"R"," R", "163122","09:09:55.255092","195.115.218.108","172.16.113.105","SMTP","60","C: DATA"
"R"," R", "163123","09:09:55.257041","172.16.113.105","195.115.218.108","SMTP","104","S: 354 Enter mail, end with ." on a line by itself""
"R"," R", "163124","09:09:55.259545","195.115.218.108","172.16.113.105","SMTP","1078","C: DATA fragment, 1024 bytes"
"R"," R", "163125","09:09:55.261129","195.115.218.108","172.16.113.105","SMTP","1514","C: DATA fragment, 1460 bytes"
"R"," R", "163126","09:09:55.262368","195.115.218.108","172.16.113.105","SMTP","1514","C: DATA fragment, 1460 bytes"
"R"," R", "163127","09:09:55.270204","172.16.113.105","195.115.218.108","TCP","60","25 → 4823 [ACK] Seq=290 Ack=4074 Win=32736 Len=0"
"R"," R", "163128","09:09:55.271880","195.115.218.108","172.16.113.105","IMF","669","subject: I look, , I look Middleton of two principle, for the header of The kernel Part of  , The supercomputer and The environment Aspirin bug?  Laws.  Comments  , and Fellows are certain it.  Anderson Andrew project andrew by append  , for The vector to discuss their information retrieval; over million  , Over The phonemes in an to gs Cb m P P.  Specific keys, the was out to  , a.  Echo Echo name.  From for between The too, not a frame based The  , introduction and solve The one standby of lines are applications  , Engineer for digital state prison and Ritchie, and send a title in c l  , l Ed know what they name to be Aspirin parser for only if there are  , build the file; that can add to resolve all The Dna of Gnu software  , with a speech and by id Aug Edt Date.   ,   , Binary decision and functions and so I think be more conventional  , telephones over particular I also something will be into The surfaces,  , nodes.  And recognition and Please do they will be equivalent of the  , personal ls On The state of source such that The a variety of the best  , time members, Friday The challenge.   ,   ,     Within May June Re.  How easy to agent interface Board level is  ,     response and.  The they think: is just like Frank a version of.   ,   ,     It takes nil or processor, the purpose of to application The  ,     character old images.   ,   ,     Any reasons.  Of kernel still hang his Cmu Room is week ago.  When  ,     we it would However, The body of and r y x clients.   , Here is some perl code  ,   ,  $init_file = $1 . .src";  "
"R"," R", "163129","09:09:55.290196","172.16.113.105","195.115.218.108","TCP","60","25 → 4823 [ACK] Seq=290 Ack=4689 Win=32736 Len=0"
"R"," R", "163130","09:09:55.292636","172.16.113.105","195.115.218.108","SMTP","73","S: 250 Mail accepted"
"R"," R", "163131","09:09:55.293392","195.115.218.108","172.16.113.105","SMTP","60","C: QUIT"
"R"," R", "163132","09:09:55.293638","172.16.113.105","195.115.218.108","SMTP","78","S: 221 Closing connection"
"R"," R", "163133","09:09:55.294544","172.16.113.105","195.115.218.108","TCP","60","25 → 4823 [FIN, ACK] Seq=333 Ack=4695 Win=32736 Len=0"
"R"," R", "163134","09:09:55.295280","195.115.218.108","172.16.113.105","TCP","60","4823 → 25 [ACK] Seq=4695 Ack=334 Win=32120 Len=0"
"R"," R", "163135","09:09:55.300282","195.115.218.108","172.16.113.105","TCP","60","4823 → 25 [FIN, ACK] Seq=4695 Ack=334 Win=32120 Len=0"
"R"," R", "163136","09:09:55.300437","172.16.113.105","195.115.218.108","TCP","60","25 → 4823 [ACK] Seq=334 Ack=4696 Win=32735 Len=0"
"R"," R", "163137","09:09:55.300664","195.115.218.108","172.16.114.207","TCP","60","4824 → 25 [SYN] Seq=0 Win=512 Len=0 MSS=1460"
"R"," R", "163138","09:09:55.300931","172.16.114.207","195.115.218.108","TCP","60","25 → 4824 [SYN, ACK] Seq=0 Ack=1 Win=32736 Len=0 MSS=1460"
"R"," R", "163139","09:09:55.301785","195.115.218.108","172.16.114.207","TCP","60","4824 → 25 [ACK] Seq=1 Ack=1 Win=32120 Len=0"
"R"," R", "163140","09:09:55.401558","172.16.112.149","135.13.216.191","TELNET","60","Telnet Data ..."
"R"," R", "163141","09:09:55.402419","135.13.216.191","172.16.112.149","TELNET","60","Telnet Data ..."
"R"," R", "163142","09:09:55.420181","172.16.112.149","135.13.216.191","TCP","60","3233 → 23 [ACK] Seq=186 Ack=1774 Win=32120 Len=0"
"R"," R", "163143","09:09:55.421436","135.13.216.191","172.16.112.149","TELNET","362","Telnet Data ..."
"R"," R", "163144","09:09:55.440166","172.16.112.149","135.13.216.191","TCP","60","3233 → 23 [ACK] Seq=186 Ack=2082 Win=32120 Len=0"
