"R"," R", "4477","08:06:23.360743","172.16.113.50","172.16.112.10","NTP","90","NTP Version 3, client"
"R"," R", "4478","08:06:23.361202","172.16.112.10","172.16.113.50","NTP","90","NTP Version 3, server"
"R"," R", "4479","08:06:28.193556","192.168.1.30","172.16.112.5","SNMP","146","get-request 1.3.6.1.2.1.1.3.0 1.3.6.1.2.1.2.2.1.10.14 1.3.6.1.2.1.2.2.1.16.14 1.3.6.1.2.1.2.2.1.11.14 1.3.6.1.2.1.2.2.1.17.14"
"R"," R", "4480","08:06:28.230336","172.16.112.5","192.168.1.30","SNMP","177","get-response 1.3.6.1.2.1.1.3.0 1.3.6.1.2.1.2.2.1.10.14 1.3.6.1.2.1.2.2.1.16.14 1.3.6.1.2.1.2.2.1.11.14 1.3.6.1.2.1.2.2.1.17.14"
"R"," R", "4481","08:06:28.368037","172.16.0.1","224.0.0.9","RIPv2","86","Response"
"R"," R", "4482","08:06:29.371691","","","LOOP","60","Reply"
"R"," R", "4483","08:06:33.298695","135.8.60.182","172.16.112.50","TELNET","60","Telnet Data ..."
"R"," R", "4484","08:06:33.299409","172.16.112.50","135.8.60.182","TELNET","76","Telnet Data ..."
"R"," R", "4485","08:06:33.317550","135.8.60.182","172.16.112.50","TCP","60","1052 → 23 [ACK] Seq=244 Ack=7642 Win=32120 Len=0"
"R"," R", "4486","08:06:33.327646","135.8.60.182","172.16.112.50","TELNET","60","Telnet Data ..."
"R"," R", "4487","08:06:33.328082","172.16.112.50","135.8.60.182","TELNET","60","Telnet Data ..."
"R"," R", "4488","08:06:33.347529","135.8.60.182","172.16.112.50","TCP","60","1052 → 23 [ACK] Seq=245 Ack=7646 Win=32120 Len=0"
"R"," R", "4489","08:06:33.357636","135.8.60.182","172.16.112.50","TELNET","60","Telnet Data ..."
"R"," R", "4490","08:06:33.358053","172.16.112.50","135.8.60.182","TELNET","60","Telnet Data ..."
"R"," R", "4491","08:06:33.377531","135.8.60.182","172.16.112.50","TCP","60","1052 → 23 [ACK] Seq=246 Ack=7652 Win=32120 Len=0"
"R"," R", "4492","08:06:33.387629","135.8.60.182","172.16.112.50","TELNET","60","Telnet Data ..."
"R"," R", "4493","08:06:33.388028","172.16.112.50","135.8.60.182","TELNET","60","Telnet Data ..."
"R"," R", "4494","08:06:33.407528","135.8.60.182","172.16.112.50","TCP","60","1052 → 23 [ACK] Seq=247 Ack=7653 Win=32120 Len=0"
"R"," R", "4495","08:06:33.417622","135.8.60.182","172.16.112.50","TELNET","60","Telnet Data ..."
"R"," R", "4496","08:06:33.418013","172.16.112.50","135.8.60.182","TELNET","60","Telnet Data ..."
"R"," R", "4497","08:06:33.437512","135.8.60.182","172.16.112.50","TCP","60","1052 → 23 [ACK] Seq=248 Ack=7654 Win=32120 Len=0"
"R"," R", "4498","08:06:33.447626","135.8.60.182","172.16.112.50","TELNET","60","Telnet Data ..."
"R"," R", "4499","08:06:33.448021","172.16.112.50","135.8.60.182","TELNET","60","Telnet Data ..."
"R"," R", "4500","08:06:33.467516","135.8.60.182","172.16.112.50","TCP","60","1052 → 23 [ACK] Seq=249 Ack=7655 Win=32120 Len=0"
"R"," R", "4501","08:06:33.477614","135.8.60.182","172.16.112.50","TELNET","60","Telnet Data ..."
"R"," R", "4502","08:06:33.478008","172.16.112.50","135.8.60.182","TELNET","60","Telnet Data ..."
"R"," R", "4503","08:06:33.497500","135.8.60.182","172.16.112.50","TCP","60","1052 → 23 [ACK] Seq=250 Ack=7656 Win=32120 Len=0"
"R"," R", "4504","08:06:33.507610","135.8.60.182","172.16.112.50","TELNET","60","Telnet Data ..."
"R"," R", "4505","08:06:33.508010","172.16.112.50","135.8.60.182","TELNET","60","Telnet Data ..."
"R"," R", "4506","08:06:33.527492","135.8.60.182","172.16.112.50","TCP","60","1052 → 23 [ACK] Seq=251 Ack=7657 Win=32120 Len=0"
"R"," R", "4507","08:06:33.537595","135.8.60.182","172.16.112.50","TELNET","60","Telnet Data ..."
"R"," R", "4508","08:06:33.537996","172.16.112.50","135.8.60.182","TELNET","60","Telnet Data ..."
"R"," R", "4509","08:06:33.557485","135.8.60.182","172.16.112.50","TCP","60","1052 → 23 [ACK] Seq=252 Ack=7658 Win=32120 Len=0"
"R"," R", "4510","08:06:33.567592","135.8.60.182","172.16.112.50","TELNET","60","Telnet Data ..."
"R"," R", "4511","08:06:33.567989","172.16.112.50","135.8.60.182","TELNET","60","Telnet Data ..."
"R"," R", "4512","08:06:33.587479","135.8.60.182","172.16.112.50","TCP","60","1052 → 23 [ACK] Seq=253 Ack=7659 Win=32120 Len=0"
"R"," R", "4513","08:06:33.597585","135.8.60.182","172.16.112.50","TELNET","60","Telnet Data ..."
"R"," R", "4514","08:06:33.597983","172.16.112.50","135.8.60.182","TELNET","60","Telnet Data ..."
"R"," R", "4515","08:06:33.617474","135.8.60.182","172.16.112.50","TCP","60","1052 → 23 [ACK] Seq=254 Ack=7660 Win=32120 Len=0"
"R"," R", "4516","08:06:33.627580","135.8.60.182","172.16.112.50","TELNET","60","Telnet Data ..."
"R"," R", "4517","08:06:33.627979","172.16.112.50","135.8.60.182","TELNET","60","Telnet Data ..."
"R"," R", "4518","08:06:33.647472","135.8.60.182","172.16.112.50","TCP","60","1052 → 23 [ACK] Seq=255 Ack=7661 Win=32120 Len=0"
"R"," R", "4519","08:06:33.657749","135.8.60.182","172.16.112.50","TELNET","60","Telnet Data ..."
"R"," R", "4520","08:06:33.658147","172.16.112.50","135.8.60.182","TELNET","60","Telnet Data ..."
"R"," R", "4521","08:06:33.677468","135.8.60.182","172.16.112.50","TCP","60","1052 → 23 [ACK] Seq=256 Ack=7662 Win=32120 Len=0"
"R"," R", "4522","08:06:33.687568","135.8.60.182","172.16.112.50","TELNET","60","Telnet Data ..."
"R"," R", "4523","08:06:33.687970","172.16.112.50","135.8.60.182","TELNET","60","Telnet Data ..."
"R"," R", "4524","08:06:33.707466","135.8.60.182","172.16.112.50","TCP","60","1052 → 23 [ACK] Seq=257 Ack=7663 Win=32120 Len=0"
"R"," R", "4525","08:06:33.717582","135.8.60.182","172.16.112.50","TELNET","60","Telnet Data ..."
"R"," R", "4526","08:06:33.717973","172.16.112.50","135.8.60.182","TELNET","60","Telnet Data ..."
"R"," R", "4527","08:06:33.737449","135.8.60.182","172.16.112.50","TCP","60","1052 → 23 [ACK] Seq=258 Ack=7664 Win=32120 Len=0"
"R"," R", "4528","08:06:33.747565","135.8.60.182","172.16.112.50","TELNET","60","Telnet Data ..."
"R"," R", "4529","08:06:33.747966","172.16.112.50","135.8.60.182","TELNET","60","Telnet Data ..."
"R"," R", "4530","08:06:33.767447","135.8.60.182","172.16.112.50","TCP","60","1052 → 23 [ACK] Seq=259 Ack=7665 Win=32120 Len=0"
"R"," R", "4531","08:06:33.777556","135.8.60.182","172.16.112.50","TELNET","60","Telnet Data ..."
"R"," R", "4532","08:06:33.777962","172.16.112.50","135.8.60.182","TELNET","60","Telnet Data ..."
"R"," R", "4533","08:06:33.797436","135.8.60.182","172.16.112.50","TCP","60","1052 → 23 [ACK] Seq=260 Ack=7666 Win=32120 Len=0"
"R"," R", "4534","08:06:33.807543","135.8.60.182","172.16.112.50","TELNET","60","Telnet Data ..."
"R"," R", "4535","08:06:33.807944","172.16.112.50","135.8.60.182","TELNET","60","Telnet Data ..."
"R"," R", "4536","08:06:33.827433","135.8.60.182","172.16.112.50","TCP","60","1052 → 23 [ACK] Seq=261 Ack=7667 Win=32120 Len=0"
"R"," R", "4537","08:06:33.837539","135.8.60.182","172.16.112.50","TELNET","60","Telnet Data ..."
"R"," R", "4538","08:06:33.837943","172.16.112.50","135.8.60.182","TELNET","60","Telnet Data ..."
"R"," R", "4539","08:06:33.857427","135.8.60.182","172.16.112.50","TCP","60","1052 → 23 [ACK] Seq=262 Ack=7668 Win=32120 Len=0"
"R"," R", "4540","08:06:33.867534","135.8.60.182","172.16.112.50","TELNET","60","Telnet Data ..."
"R"," R", "4541","08:06:33.867937","172.16.112.50","135.8.60.182","TELNET","60","Telnet Data ..."
"R"," R", "4542","08:06:33.887422","135.8.60.182","172.16.112.50","TCP","60","1052 → 23 [ACK] Seq=263 Ack=7669 Win=32120 Len=0"
"R"," R", "4543","08:06:33.897527","135.8.60.182","172.16.112.50","TELNET","60","Telnet Data ..."
"R"," R", "4544","08:06:33.897931","172.16.112.50","135.8.60.182","TELNET","60","Telnet Data ..."
"R"," R", "4545","08:06:33.917416","135.8.60.182","172.16.112.50","TCP","60","1052 → 23 [ACK] Seq=264 Ack=7670 Win=32120 Len=0"
"R"," R", "4546","08:06:33.927522","135.8.60.182","172.16.112.50","TELNET","60","Telnet Data ..."
"R"," R", "4547","08:06:33.927930","172.16.112.50","135.8.60.182","TELNET","60","Telnet Data ..."
