UniqSrcIPs,DNSCount,ARPCount,UDPCount,HTTPCount,CorJSCount
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
4,6,0,0,0,1
1,0,0,0,0,0
2,0,0,0,0,0
4,0,0,0,0,0
4,0,0,0,0,0
5,0,0,0,0,0
6,0,0,0,0,0
6,0,0,0,0,0
6,0,0,0,0,0
6,0,0,0,0,0
5,0,0,0,0,0
3,0,0,0,0,0
3,0,0,0,0,0
3,0,0,0,0,0
1,0,0,0,0,0
3,0,0,0,0,0
3,0,0,0,0,0
3,0,0,0,0,0
3,0,0,0,0,0
3,0,0,0,0,0
3,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
5,2,0,0,0,0
5,2,0,0,0,0
5,2,0,0,0,0
6,4,4,0,0,6
6,4,4,0,0,6
7,4,4,0,0,6
7,4,4,0,0,6
7,4,4,0,0,6
7,2,4,0,0,6
6,2,4,0,0,6
6,2,4,0,0,6
4,0,0,0,0,0
4,0,0,0,0,0
3,0,0,0,0,0
3,0,0,0,0,0
3,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
2,2,0,0,0,0
5,6,0,0,0,1
6,6,0,0,0,2
6,6,0,0,0,2
6,6,0,0,0,2
7,6,0,0,0,2
9,10,4,0,2,2
9,16,4,0,10,2
9,14,4,0,10,2
7,10,4,0,10,1
6,10,4,0,10,0
6,10,4,0,10,0
6,10,4,0,10,0
5,10,4,0,10,0
5,6,0,0,8,0
4,0,0,0,0,0
4,0,0,0,0,0
5,0,0,0,0,0
5,0,0,0,0,0
6,0,0,0,0,0
10,10,0,0,0,7
9,10,0,0,0,7
11,10,0,0,0,7
10,10,0,0,0,7
10,10,0,0,0,7
10,10,0,0,0,7
10,10,0,0,0,7
9,10,0,0,0,7
5,0,0,0,0,0
5,0,0,0,0,0
3,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
4,0,0,0,0,0
4,0,0,0,0,0
7,8,4,0,0,0
7,14,4,0,0,1
7,14,4,0,0,1
7,14,8,0,0,1
7,14,8,0,0,1
7,14,8,0,0,1
7,14,8,0,0,1
7,14,8,0,0,1
8,6,4,0,0,1
6,20,6,0,0,1
6,20,6,0,0,1
6,20,2,0,0,1
8,30,2,0,0,1
8,30,2,0,0,1
8,40,2,0,0,1
10,44,2,0,0,2
11,44,2,0,0,2
11,24,0,0,0,1
11,24,0,0,0,1
11,26,0,0,0,4
8,16,0,0,0,4
8,16,0,0,0,4
8,16,0,0,0,4
8,16,2,0,0,3
8,26,2,0,0,3
8,26,2,0,0,3
8,26,2,0,0,3
6,24,2,0,0,0
9,30,2,0,0,1
10,32,2,0,0,2
12,22,2,0,0,6
11,18,0,0,0,7
12,22,0,0,0,8
13,22,0,0,0,9
15,24,0,0,0,11
15,28,0,0,0,12
15,28,0,0,0,13
16,26,0,0,0,13
14,26,0,0,0,9
13,26,0,0,0,8
11,16,0,0,0,7
10,16,0,0,0,6
8,14,0,0,0,4
7,10,0,0,0,3
7,4,0,0,0,1
6,10,0,0,0,3
6,10,0,0,0,3
7,10,0,0,0,3
8,8,0,0,0,3
8,8,0,0,0,3
8,8,0,0,0,3
8,8,0,0,0,3
7,8,0,0,0,3
5,2,0,0,0,0
5,2,0,0,0,0
4,2,0,0,0,0
0,0,0,0,0,0
3,0,0,0,0,0
5,0,0,0,0,0
5,0,0,0,0,0
7,0,0,0,0,0
11,4,0,0,0,1
12,6,0,0,0,2
13,8,0,0,0,10
14,8,0,0,0,11
11,8,0,0,0,11
11,8,0,0,0,12
13,12,0,0,0,13
13,12,0,0,0,16
12,8,0,0,0,15
11,8,0,0,0,14
10,6,0,0,0,6
11,8,0,0,0,6
12,8,0,0,0,7
12,10,0,0,0,7
11,6,0,0,0,6
11,6,4,0,0,3
11,8,4,0,0,3
11,6,4,0,0,3
9,8,4,0,0,3
8,6,4,0,0,2
7,6,4,0,0,1
5,4,4,0,0,0
5,4,4,0,0,0
7,8,0,0,0,0
6,6,0,0,0,0
8,46,2,0,0,1
9,44,2,0,0,2
9,44,2,0,0,2
9,44,2,0,0,2
9,44,2,0,0,2
9,44,2,0,0,2
7,40,2,0,0,2
7,40,2,0,0,2
5,0,0,0,0,1
8,2,0,0,0,0
6,2,0,0,0,0
9,4,0,0,0,4
9,4,0,0,0,4
9,4,0,0,0,4
9,4,0,0,0,4
9,6,0,0,0,5
9,6,0,0,0,5
9,4,0,0,0,5
9,4,0,0,0,5
5,6,0,0,0,1
4,6,0,0,0,1
5,6,0,0,0,1
7,8,0,0,0,1
7,8,0,0,0,1
7,10,0,0,0,2
7,10,0,0,0,2
8,10,0,0,0,2
8,6,0,0,0,2
8,8,0,0,0,2
7,8,0,0,0,2
7,8,0,0,0,2
9,6,0,0,0,1
8,4,0,0,0,0
8,4,0,0,0,0
8,6,2,0,0,1
10,6,4,0,0,1
10,4,4,0,0,1
10,4,4,0,0,1
9,2,4,0,0,1
7,2,4,0,0,1
7,2,4,0,0,1
6,2,4,0,0,1
3,0,2,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
3,0,0,0,0,0
3,0,0,0,0,0
3,0,0,0,0,0
5,2,0,0,0,0
5,2,0,0,0,0
7,2,0,0,0,0
7,2,0,0,0,1
7,2,0,0,0,1
6,2,0,0,0,1
7,4,0,0,0,2
7,4,0,0,0,2
8,2,0,0,0,3
11,10,2,0,0,4
11,22,2,0,0,5
10,24,2,0,0,4
10,24,2,0,0,4
10,26,2,0,0,4
9,24,2,0,0,3
9,24,2,0,0,3
8,24,2,0,0,2
5,16,0,0,0,1
3,4,0,0,0,0
3,4,0,0,0,0
3,4,0,0,0,0
2,4,0,0,0,0
2,4,0,0,0,0
3,4,0,0,0,0
3,4,0,0,0,0
3,4,0,0,0,0
3,4,0,0,0,0
5,2,0,0,0,1
5,2,0,0,0,1
7,4,0,0,0,2
7,4,0,0,0,2
6,4,0,0,0,2
6,4,0,0,0,2
9,10,2,0,0,3
9,10,2,0,0,3
7,10,2,0,0,2
9,12,4,0,0,2
7,8,4,0,0,1
10,10,4,0,0,1
10,10,4,0,0,1
10,10,4,0,0,1
9,4,2,0,0,0
10,4,2,0,0,0
10,4,2,0,0,0
7,2,0,0,0,0
9,2,2,0,0,0
7,2,2,0,0,0
7,2,2,0,0,0
7,2,2,0,0,0
7,2,2,0,0,0
7,2,2,0,0,0
7,2,2,0,0,0
7,2,2,0,0,0
5,2,0,0,0,0
7,2,0,0,0,1
7,2,0,0,0,1
7,2,0,0,0,1
7,2,0,0,0,1
7,2,0,0,0,1
7,4,0,0,0,1
7,4,0,0,0,1
7,4,0,0,0,1
7,2,0,0,0,1
7,2,0,0,0,1
7,2,0,0,0,1
7,2,0,0,0,1
6,2,0,0,0,1
4,0,0,0,0,1
6,2,0,0,0,1
8,2,0,0,0,2
6,2,0,0,0,1
5,2,0,0,0,1
5,2,0,0,0,1
6,2,0,0,0,1
5,2,0,0,0,1
5,2,0,0,0,1
4,0,0,0,0,1
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
4,2,2,0,0,1
5,2,2,0,0,1
5,2,2,0,0,1
5,2,2,0,0,1
5,2,2,0,0,1
5,2,2,0,0,1
5,2,2,0,0,1
5,2,2,0,0,1
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,0,0
2,0,0,0,0,0
4,0,0,0,0,1
4,0,0,0,0,1
4,0,0,0,0,1
4,0,0,0,0,1
4,0,0,0,0,1
4,0,0,0,0,1
4,0,0,0,0,1
2,0,0,0,0,1
2,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
4,0,0,0,0,0
5,0,0,0,0,0
5,0,0,0,0,0
5,0,0,0,0,0
5,0,0,0,0,0
4,0,0,0,0,0
3,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
3,0,0,0,0,0
3,0,0,0,0,0
3,0,0,0,0,0
3,0,0,0,0,0
3,0,0,0,0,0
4,0,2,0,0,0
4,0,2,0,0,0
4,0,2,0,0,0
4,0,2,0,0,0
4,0,2,0,0,0
5,0,4,0,0,2
5,0,4,0,0,2
5,0,4,0,0,2
3,0,2,0,0,2
7,2,2,0,0,2
7,2,2,0,0,2
7,2,2,0,0,2
7,2,2,0,0,2
7,6,0,0,0,2
8,6,0,0,0,2
8,6,0,0,0,2
8,6,0,0,0,2
6,6,0,0,0,2
6,6,0,0,0,2
8,6,0,0,0,2
8,6,0,0,0,2
5,2,0,0,0,1
4,2,0,0,0,1
4,2,0,0,0,1
5,2,0,0,0,1
7,2,0,0,0,1
7,4,0,0,0,1
7,4,0,0,0,1
7,6,0,0,0,1
5,6,0,0,0,0
5,6,0,0,0,0
6,6,0,0,0,0
5,6,0,0,0,0
3,4,0,0,0,0
4,2,0,0,0,0
4,2,0,0,0,0
2,0,0,0,0,0
4,2,0,0,0,0
4,2,0,0,0,0
3,2,0,0,0,0
3,2,0,0,0,0
3,2,0,0,0,0
2,2,0,0,0,0
2,2,0,0,0,0
3,2,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
4,0,0,0,0,0
4,0,0,0,0,0
6,2,2,0,0,1
6,2,2,0,0,1
7,2,2,0,0,1
7,2,2,0,0,1
7,2,2,0,0,1
7,2,2,0,0,1
7,2,2,0,0,2
9,2,2,0,0,3
8,0,0,0,0,2
8,0,0,0,0,2
8,0,0,0,0,2
8,0,0,0,0,2
8,0,0,0,0,2
8,0,0,0,0,2
6,0,0,0,0,1
5,0,0,0,0,0
4,0,0,0,0,0
6,0,0,0,0,1
5,0,0,0,0,1
8,2,0,0,0,2
8,2,0,0,0,2
8,2,0,0,0,2
8,2,0,0,0,2
7,2,0,0,0,8
7,4,0,0,0,8
7,4,0,0,0,7
7,4,0,0,0,7
5,2,0,0,0,6
5,2,0,0,0,6
5,2,0,0,0,6
5,2,0,0,0,6
5,4,2,0,0,0
5,4,2,0,0,0
6,4,2,0,0,0
7,4,2,0,0,0
8,6,6,0,0,0
8,8,6,0,0,0
8,8,6,0,0,0
8,8,6,0,0,0
7,6,4,0,0,0
7,9,4,0,0,0
7,9,4,0,0,0
6,9,4,0,0,0
5,7,0,0,0,0
4,5,0,0,0,0
5,7,1,0,0,0
6,15,2,0,0,1
6,15,2,0,0,1
6,10,2,0,0,1
6,10,2,0,0,1
6,10,2,0,0,1
5,10,2,0,0,1
5,10,2,0,0,1
5,10,1,0,0,1
2,2,0,0,0,0
3,2,0,0,0,0
3,2,0,0,0,0
3,2,0,0,0,0
3,2,0,0,0,0
3,2,0,0,0,0
3,2,0,0,0,0
2,0,4,0,0,0
4,0,4,0,0,0
8,2,4,0,0,0
9,2,4,0,0,0
9,2,4,0,0,0
10,2,4,0,0,0
10,4,4,0,0,0
10,4,4,0,0,0
12,5,0,0,0,2
11,5,0,0,0,2
10,3,0,0,0,3
7,3,0,0,0,3
7,3,0,0,0,3
8,3,0,0,0,3
9,3,0,0,0,3
9,3,0,0,0,3
8,2,0,0,0,1
8,2,0,0,0,1
6,2,0,0,0,0
6,2,0,0,0,0
6,2,2,0,0,0
7,10,4,0,0,0
4,8,4,0,0,0
4,8,4,0,0,0
4,8,4,0,0,0
4,8,4,0,0,0
4,8,4,0,0,0
4,8,4,0,0,0
4,8,2,0,0,0
5,0,0,0,0,0
5,0,0,0,0,0
3,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
3,0,0,0,0,0
3,0,0,0,0,0
3,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
4,0,0,0,0,0
3,0,0,0,0,0
5,0,0,0,0,0
5,0,0,0,0,0
7,0,0,0,0,0
7,0,0,0,0,0
7,0,0,0,0,0
7,0,0,0,0,0
7,0,0,0,0,0
7,0,0,0,0,0
5,0,0,0,0,0
7,4,2,0,2,0
7,4,2,0,2,0
7,4,2,0,2,0
7,4,2,0,2,0
7,4,2,0,2,0
7,4,2,0,2,0
7,4,2,0,2,0
7,4,2,0,2,0
4,0,0,0,0,0
4,0,0,0,0,0
4,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
3,0,0,0,0,0
3,0,0,0,0,0
3,0,0,0,0,0
3,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
3,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
3,0,0,0,0,0
3,0,0,0,0,0
3,0,0,0,0,0
3,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
5,0,0,0,2,0
6,0,0,0,2,0
6,0,0,0,2,0
7,0,0,0,2,0
7,0,0,0,2,0
7,0,0,0,2,0
7,0,0,0,2,0
7,0,0,0,2,0
7,0,0,0,0,0
6,0,0,0,0,0
9,10,0,0,0,0
8,10,0,0,0,0
8,10,0,0,0,0
9,10,0,0,0,0
10,12,0,0,0,0
10,12,0,0,0,0
10,12,0,0,0,0
10,12,0,0,0,0
11,6,4,0,0,1
9,6,4,0,0,1
9,6,4,0,0,1
7,6,4,0,0,1
7,8,4,0,0,1
7,8,4,0,0,1
7,8,4,0,0,1
7,8,4,0,0,1
5,4,0,0,0,0
7,4,0,0,0,0
7,4,0,0,0,0
8,4,0,0,2,0
8,2,0,0,2,16
8,2,0,0,2,16
7,2,0,0,2,16
7,2,0,0,2,16
8,2,0,0,2,16
9,12,0,0,2,16
9,12,0,0,2,16
9,12,0,0,0,16
7,10,0,0,0,0
7,12,0,0,0,0
5,12,0,0,0,0
7,12,0,0,0,0
6,12,0,0,0,0
7,2,0,0,0,0
8,2,0,0,0,0
8,2,0,0,0,0
6,2,0,0,0,0
6,2,0,0,0,0
6,2,0,0,0,0
4,2,0,0,0,0
4,2,0,0,0,0
5,2,0,0,0,1
4,2,0,0,0,1
4,2,0,0,0,1
5,2,0,0,0,1
3,0,0,0,0,1
5,0,0,0,0,1
6,0,0,0,0,2
8,6,2,0,2,2
7,6,2,0,2,1
7,6,2,0,2,1
7,6,2,0,2,1
7,6,2,0,2,1
8,6,2,0,2,1
8,6,2,0,2,1
8,8,4,0,2,0
6,2,2,0,0,1
10,2,2,0,0,2
11,2,2,0,0,5
12,2,2,0,0,6
13,2,2,0,0,6
13,2,2,0,0,6
13,2,2,0,0,6
11,0,0,0,2,6
11,0,0,0,2,5
11,0,0,0,2,4
10,0,0,0,2,1
8,0,0,0,2,0
7,0,0,0,2,0
7,0,0,0,2,0
7,0,0,0,2,0
7,0,0,0,0,0
7,0,0,0,0,0
4,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
4,0,0,0,0,0
4,0,0,0,0,0
7,2,0,0,0,0
9,2,0,0,0,1
10,2,0,0,0,5
12,4,0,0,2,6
13,8,0,0,2,7
13,8,0,0,2,8
13,12,0,0,2,9
13,12,0,0,2,9
13,10,0,0,2,9
12,14,0,0,2,8
10,14,0,0,2,4
7,12,0,0,0,3
6,10,0,0,0,2
5,10,0,0,0,1
3,6,0,0,0,0
3,6,0,0,0,0
3,6,0,0,0,0
3,6,0,0,0,0
3,6,0,0,0,0
3,6,0,0,0,0
6,6,2,0,0,0
8,6,2,0,0,0
8,6,2,0,0,0
11,10,2,0,2,1
12,20,2,0,2,1
14,16,4,0,2,2
14,16,4,0,2,3
