SYNCount,NumberOfPackets,UniqSrcIPs,DNSCount,RSTCount,SSHCount
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
1,31,4,6,0,0
0,2,1,0,0,0
0,2,2,0,0,0
0,4,4,0,0,0
0,4,4,0,0,0
0,6,5,0,0,0
0,8,6,0,0,0
0,8,6,0,0,0
0,8,6,0,0,0
0,8,6,0,0,0
0,6,5,0,0,0
0,4,3,0,0,0
0,4,3,0,0,0
0,3,3,0,0,0
0,1,1,0,0,0
0,3,3,0,0,0
0,3,3,0,0,0
0,3,3,0,0,0
0,3,3,0,0,0
0,3,3,0,0,0
0,3,3,0,0,0
0,2,2,0,0,0
0,2,2,0,0,0
0,1,1,0,0,0
0,3,2,0,0,0
0,3,2,0,0,0
1,12,5,2,0,0
1,17,5,2,0,0
1,17,5,2,0,0
2,46,6,4,0,0
2,46,6,4,0,0
2,46,7,4,0,0
2,44,7,4,0,0
2,45,7,4,0,0
1,38,7,2,0,0
1,34,6,2,0,0
1,34,6,2,0,0
0,6,4,0,0,0
0,6,4,0,0,0
0,5,3,0,0,0
0,5,3,0,0,0
0,4,3,0,0,0
0,2,2,0,0,0
0,2,2,0,0,0
0,2,2,0,0,0
0,1,1,0,0,0
0,1,1,0,0,0
0,1,1,0,0,0
0,1,1,0,0,0
0,1,1,0,0,0
0,1,1,0,0,0
0,2,2,2,0,0
2,34,5,6,0,0
2,58,6,6,0,0
2,60,6,6,0,0
2,60,6,6,0,0
2,61,7,6,0,0
3,77,9,10,0,0
6,136,9,16,0,0
6,134,9,14,0,0
4,102,7,10,0,0
4,79,6,10,0,0
4,77,6,10,0,0
4,79,6,10,0,0
4,79,5,10,0,0
3,63,5,6,0,0
0,6,4,0,0,0
0,6,4,0,0,0
0,8,5,0,0,0
0,7,5,0,0,0
0,9,6,0,0,0
2,69,10,10,0,0
2,68,9,10,0,0
2,77,11,10,0,0
2,75,10,10,0,0
2,75,10,10,0,0
2,74,10,10,0,0
2,74,10,10,0,0
2,72,9,10,0,0
0,12,5,0,0,0
0,12,5,0,0,0
0,3,3,0,0,0
0,3,3,0,0,0
0,4,4,0,0,0
0,5,4,0,0,0
0,5,4,0,0,0
1,39,7,8,0,0
2,94,7,14,0,0
2,113,7,14,0,0
2,227,7,14,0,0
2,377,7,14,0,0
2,526,7,14,0,0
2,670,7,14,0,0
2,814,7,14,0,0
1,932,8,6,0,0
1,1041,6,20,0,0
1,1025,6,20,0,0
1,926,6,20,0,0
1,795,8,30,0,0
1,646,8,30,0,0
1,511,8,40,0,0
2,396,10,44,0,0
3,256,11,44,0,0
2,91,11,24,0,0
2,88,11,24,0,0
3,98,11,26,0,0
3,79,8,16,0,0
3,78,8,16,0,0
3,78,8,16,0,0
3,79,8,16,0,0
2,78,8,26,0,0
2,77,8,26,0,0
2,77,8,26,0,0
1,53,6,24,0,0
3,96,9,30,0,0
4,127,10,32,0,0
5,142,12,22,0,0
5,137,11,18,0,0
6,165,12,22,0,0
7,193,13,22,0,0
9,245,15,24,0,0
10,289,15,28,0,0
10,287,15,28,0,0
9,278,16,26,0,0
8,252,14,26,0,0
7,227,13,26,0,0
6,192,11,16,0,0
5,164,10,16,0,0
3,112,8,14,0,0
2,67,7,10,0,0
0,28,7,4,0,0
1,35,6,10,0,0
1,37,6,10,0,0
1,38,7,10,0,0
1,38,8,8,0,0
1,38,8,8,0,0
1,38,8,8,0,0
1,38,8,8,0,0
1,36,7,8,0,0
0,7,5,2,0,0
0,5,5,2,0,0
0,4,4,2,0,0
0,0,0,0,0,0
0,3,3,0,0,0
0,6,5,0,0,0
0,6,5,0,0,0
1,9,7,0,0,0
3,50,11,4,0,0
4,82,12,6,0,0
6,133,13,8,0,0
7,157,14,8,0,0
7,154,11,8,0,0
8,179,11,8,0,0
9,212,13,12,0,0
8,234,13,12,0,0
6,194,12,8,0,0
5,164,11,8,0,0
3,115,10,6,0,0
4,121,11,8,0,0
5,146,12,8,0,0
4,145,12,10,0,0
3,112,11,6,0,0
4,95,11,6,0,0
4,110,11,8,0,0
4,123,11,6,0,0
4,138,9,8,0,0
2,125,8,6,0,0
1,114,7,6,0,0
1,103,5,4,0,0
1,105,5,4,0,0
1,241,7,8,0,0
1,225,6,6,0,0
3,279,8,46,0,0
3,292,9,44,0,0
3,292,9,44,0,0
3,278,9,44,0,0
3,262,9,44,0,0
3,260,9,44,0,0
2,116,7,40,0,0
2,116,7,40,0,0
0,47,5,0,0,0
2,48,8,2,0,0
2,31,6,2,0,0
3,79,9,4,0,0
3,80,9,4,0,0
3,80,9,4,0,0
3,80,9,4,0,0
4,127,9,6,0,0
4,127,9,6,0,0
2,96,9,4,0,0
2,96,9,4,0,0
1,52,5,6,0,0
1,51,4,6,0,0
1,52,5,6,0,0
1,56,7,8,0,0
1,34,7,8,0,0
2,63,7,10,0,0
2,63,7,10,0,0
2,65,8,10,0,0
2,61,8,6,0,0
2,63,8,8,0,0
2,62,7,8,0,0
2,61,7,8,0,0
2,61,9,6,0,0
1,34,8,4,0,0
1,35,8,4,0,0
2,60,8,6,0,0
2,64,10,6,0,0
2,62,10,4,0,0
2,62,10,4,0,0
2,59,9,2,0,0
1,34,7,2,0,0
1,32,7,2,0,0
1,32,6,2,0,0
0,5,3,0,0,0
0,2,1,0,0,0
0,2,1,0,0,0
0,4,3,0,0,0
0,4,3,0,0,0
0,4,3,0,0,0
0,6,5,2,0,0
0,5,5,2,0,0
1,8,7,2,0,0
1,28,7,2,0,0
1,28,7,2,0,0
2,38,6,2,0,0
3,64,7,4,0,0
3,64,7,4,0,0
5,91,8,2,0,0
6,132,11,10,0,0
5,160,11,22,0,0
5,141,10,24,0,0
5,141,10,24,0,0
4,132,10,26,0,0
3,108,9,24,0,0
3,108,9,24,0,0
1,79,8,24,0,0
0,38,5,16,0,0
0,7,3,4,0,0
0,7,3,4,0,0
0,7,3,4,0,0
0,6,2,4,0,0
0,4,2,4,0,0
0,5,3,4,0,0
0,5,3,4,0,0
0,5,3,4,0,0
0,5,3,4,0,0
1,28,5,2,0,0
1,28,5,2,0,0
2,56,7,4,0,0
2,56,7,4,0,0
2,55,6,4,0,0
2,55,6,4,0,0
3,96,9,10,0,0
3,96,9,10,0,0
2,71,7,10,0,0
4,120,9,12,0,0
3,90,7,8,0,0
3,95,10,10,0,0
3,95,10,10,0,0
3,97,10,10,0,0
2,56,9,4,0,0
2,58,10,4,0,0
2,59,10,4,0,0
0,12,7,2,0,0
0,21,9,2,0,0
0,18,7,2,0,0
0,18,7,2,0,0
0,16,7,2,0,0
0,16,7,2,0,0
0,16,7,2,0,0
0,15,7,2,0,0
0,13,7,2,0,0
0,5,5,2,0,0
1,33,7,2,0,0
1,34,7,2,0,0
1,34,7,2,0,0
1,34,7,2,0,0
1,34,7,2,0,0
1,36,7,4,0,0
1,36,7,4,0,0
1,35,7,4,0,0
1,46,7,2,0,0
1,46,7,2,0,0
1,46,7,2,0,0
1,46,7,2,0,0
1,45,6,2,0,0
1,43,4,0,0,0
1,45,6,2,0,0
2,68,8,2,0,0
1,27,6,2,0,0
1,26,5,2,0,0
1,26,5,2,0,0
1,27,6,2,0,0
1,28,5,2,0,0
1,28,5,2,0,0
1,26,4,0,0,0
0,3,2,0,0,0
0,3,2,0,0,0
0,3,2,0,0,0
1,32,4,2,0,0
1,32,5,2,0,0
1,30,5,2,0,0
1,32,5,2,0,0
1,33,5,2,0,0
1,33,5,2,0,0
1,33,5,2,0,0
1,33,5,2,0,0
0,4,2,0,0,0
0,3,2,0,0,0
0,3,2,0,0,0
0,1,1,0,0,0
0,0,0,0,0,0
0,2,2,0,0,0
1,25,4,0,0,0
1,25,4,0,0,0
1,25,4,0,0,0
1,25,4,0,0,0
1,25,4,0,0,0
1,25,4,0,0,0
1,25,4,0,0,0
1,23,2,0,0,0
0,2,2,0,0,0
0,3,3,0,0,0
0,7,4,0,0,0
0,7,4,0,0,0
0,9,5,0,0,0
0,9,5,0,0,0
0,9,5,0,0,0
0,9,5,0,0,0
0,7,4,0,0,0
0,6,3,0,0,0
0,2,2,0,0,0
0,3,3,0,0,0
0,3,3,0,0,0
0,4,3,0,0,0
0,4,3,0,0,0
0,4,3,0,0,0
0,4,3,0,0,0
0,8,4,0,0,0
0,8,4,0,0,0
0,7,4,0,0,0
0,6,4,0,0,0
0,6,4,0,0,0
0,10,5,0,0,0
0,10,5,0,0,0
0,10,5,0,0,0
0,6,3,0,0,0
1,31,7,2,0,0
1,31,7,2,0,0
1,30,7,2,0,0
1,29,7,2,0,0
3,74,7,6,0,0
3,75,8,6,0,0
3,77,8,6,0,0
3,77,8,6,0,0
2,54,6,6,0,0
2,54,6,6,0,0
3,66,8,6,0,0
3,66,8,6,0,0
2,47,5,2,0,0
2,46,4,2,0,0
2,44,4,2,0,0
2,45,5,2,0,0
3,68,7,2,0,0
3,70,7,4,0,0
2,58,7,4,0,0
2,60,7,6,0,0
1,30,5,6,0,0
1,30,5,6,0,0
1,31,6,6,0,0
1,30,5,6,0,0
0,5,3,4,0,0
0,4,4,2,0,0
0,4,4,2,0,0
0,2,2,0,0,0
0,4,4,2,0,0
0,4,4,2,0,0
0,3,3,2,0,0
0,3,3,2,0,0
0,3,3,2,0,0
0,2,2,2,0,0
0,2,2,2,0,0
0,3,3,2,0,0
0,3,2,0,0,0
0,3,2,0,0,0
0,5,4,0,0,0
0,5,4,0,0,0
1,36,6,2,0,0
1,36,6,2,0,0
1,38,7,2,0,0
1,37,7,2,0,0
1,35,7,2,0,0
1,36,7,2,0,0
2,60,7,2,0,0
3,84,9,2,0,0
2,54,8,0,0,0
2,54,8,0,0,0
2,54,8,0,0,0
2,54,8,0,0,0
2,54,8,0,0,0
2,53,8,0,0,0
1,27,6,0,0,0
0,6,5,0,0,0
0,5,4,0,0,0
1,28,6,0,0,0
1,26,5,0,0,0
2,53,8,2,0,0
2,53,8,2,0,0
2,53,8,2,0,0
2,53,8,2,0,0
3,73,7,2,0,0
3,75,7,4,0,0
2,53,7,4,0,0
2,55,7,4,0,0
1,28,5,2,0,0
1,28,5,2,0,0
1,28,5,2,0,0
1,28,5,2,0,0
1,32,5,4,0,0
1,32,5,4,0,0
1,32,6,4,0,0
1,31,7,4,0,0
2,58,8,6,0,0
2,68,8,8,0,0
2,92,8,8,0,0
2,113,8,8,0,0
1,102,7,6,0,0
1,211,7,9,0,0
1,213,7,9,0,0
1,225,6,9,0,0
0,208,5,7,0,0
0,198,4,5,0,0
0,178,5,7,0,0
1,193,6,15,0,0
1,177,6,15,0,0
1,66,6,10,0,0
1,63,6,10,0,0
1,50,6,10,0,0
1,40,5,10,0,0
1,40,5,10,0,0
1,38,5,10,0,0
0,2,2,2,0,0
0,3,3,2,0,0
0,5,3,2,0,0
0,5,3,2,0,0
0,5,3,2,0,0
0,5,3,2,0,0
0,5,3,2,0,0
0,7,2,0,0,0
0,9,4,0,0,0
2,36,8,2,0,0
2,56,9,2,0,0
2,57,9,2,0,0
2,59,10,2,0,0
2,62,10,4,0,0
2,62,10,4,0,0
2,62,12,5,0,0
2,60,11,5,0,0
1,58,10,3,0,0
1,36,7,3,0,0
1,35,7,3,0,0
1,35,8,3,0,0
1,37,9,3,0,0
1,37,9,3,0,0
1,33,8,2,0,0
1,33,8,2,0,0
0,7,6,2,0,0
0,7,6,2,0,0
0,9,6,2,0,0
1,36,7,10,0,0
1,54,4,8,0,0
1,79,4,8,0,0
1,80,4,8,0,0
1,82,4,8,0,0
1,82,4,8,0,0
1,82,4,8,0,0
1,80,4,8,0,0
0,52,5,0,0,0
0,29,5,0,0,0
0,4,3,0,0,0
0,3,2,0,0,0
0,1,1,0,0,0
0,2,2,0,0,0
0,2,2,0,0,0
0,2,2,0,0,0
0,1,1,0,0,0
0,1,1,0,0,0
0,1,1,0,0,0
0,1,1,0,0,0
0,1,1,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,1,1,0,0,0
0,1,1,0,0,0
0,1,1,0,0,0
0,1,1,0,0,0
0,1,1,0,0,0
0,1,1,0,0,0
0,1,1,0,0,0
0,1,1,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,1,1,0,0,0
0,3,2,0,0,0
0,3,2,0,0,0
0,3,2,0,0,0
0,4,3,0,0,0
0,4,3,0,0,0
0,4,3,0,0,0
0,4,3,0,0,0
0,3,2,0,0,0
0,1,1,0,0,0
0,2,2,0,0,0
0,4,4,0,0,0
0,4,3,0,0,0
0,7,5,0,0,0
0,7,5,0,0,0
0,15,7,0,0,0
0,32,7,0,0,0
0,48,7,0,0,0
0,65,7,0,0,0
0,81,7,0,0,0
0,99,7,0,0,0
0,108,5,0,0,0
1,150,7,4,0,0
1,144,7,4,0,0
1,127,7,4,0,0
1,113,7,4,0,0
1,95,7,4,0,0
1,77,7,4,0,0
1,58,7,4,0,0
1,46,7,4,0,0
0,5,4,0,0,0
0,5,4,0,0,0
0,5,4,0,0,0
0,3,2,0,0,0
0,4,3,0,0,0
0,4,3,0,0,0
0,4,3,0,0,0
0,4,3,0,0,0
0,4,3,0,0,0
0,2,2,0,0,0
0,4,3,0,0,0
0,5,3,0,0,0
0,4,2,0,0,0
0,4,2,0,0,0
0,4,2,0,0,0
0,4,2,0,0,0
0,3,2,0,0,0
0,3,2,0,0,0
0,1,1,0,0,0
0,0,0,0,0,0
0,1,1,0,0,0
0,1,1,0,0,0
0,1,1,0,0,0
0,1,1,0,0,0
0,1,1,0,0,0
0,1,1,0,0,0
0,1,1,0,0,0
0,1,1,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,1,1,0,0,0
0,3,2,0,0,0
0,3,2,0,0,0
0,4,3,0,0,0
0,4,3,0,0,0
0,4,3,0,0,0
0,4,3,0,0,0
0,4,3,0,0,0
0,3,2,0,0,0
0,1,1,0,0,0
0,2,2,0,0,0
0,1,1,0,0,0
0,2,1,0,0,0
0,2,1,0,0,0
0,45,3,0,0,0
0,144,4,0,0,0
1,156,5,0,0,0
1,158,6,0,0,0
1,157,6,0,0,0
1,165,7,0,0,0
1,165,7,0,0,0
1,165,7,0,0,0
1,122,7,0,0,0
1,23,7,0,0,0
0,11,7,0,0,0
0,9,6,0,0,0
1,39,9,10,0,0
1,61,8,10,0,0
2,80,8,10,0,0
2,101,9,10,0,0
3,112,10,12,0,0
3,121,10,12,0,0
3,124,10,12,0,0
4,139,10,12,0,0
4,145,11,6,0,0
5,129,9,6,0,0
4,110,9,6,0,0
4,92,7,6,0,0
4,100,7,8,0,0
4,94,7,8,0,0
5,107,7,8,0,0
4,95,7,8,0,0
4,75,5,4,0,0
3,139,7,4,0,0
3,213,7,4,0,0
5,269,8,4,0,0
19,541,8,2,0,0
19,538,8,2,0,0
18,528,7,2,0,0
18,525,7,2,0,0
17,510,8,2,0,0
18,461,9,12,0,0
18,411,9,12,0,0
16,368,9,12,0,0
1,87,7,10,0,0
1,89,7,12,0,0
1,83,5,12,0,0
1,89,7,12,0,0
1,88,6,12,0,0
0,60,7,2,0,0
0,36,8,2,0,0
0,22,8,2,0,0
0,12,6,2,0,0
0,12,6,2,0,0
0,12,6,2,0,0
0,6,4,2,0,0
0,6,4,2,0,0
1,31,5,2,0,0
1,30,4,2,0,0
1,28,4,2,0,0
1,29,5,2,0,0
1,27,3,0,0,0
1,64,5,0,0,0
2,150,6,0,0,0
3,212,8,6,0,0
2,186,7,6,0,0
2,186,7,6,0,0
2,186,7,6,0,0
2,185,7,6,0,0
2,187,8,6,0,0
2,151,8,6,0,0
2,87,8,8,0,0
1,35,6,2,0,0
3,65,10,2,0,0
4,89,11,2,0,0
4,128,12,2,0,0
4,159,13,2,0,0
4,189,13,2,0,0
4,218,13,2,0,0
4,232,11,0,0,0
4,223,11,0,0,0
2,197,11,0,0,0
1,179,10,0,0,0
1,140,8,0,0,0
1,109,7,0,0,0
1,77,7,0,0,0
1,47,7,0,0,0
0,11,7,0,0,0
0,11,7,0,0,0
0,7,4,0,0,0
0,3,2,0,0,0
0,4,2,0,0,0
0,4,2,0,0,0
0,4,2,0,0,0
0,4,2,0,0,0
0,4,2,0,0,0
0,3,2,0,0,0
0,3,2,0,0,0
0,1,1,0,0,0
0,0,0,0,0,0
0,1,1,0,0,0
0,1,1,0,0,0
0,1,1,0,0,0
0,1,1,0,0,0
0,1,1,0,0,0
0,1,1,0,0,0
0,5,4,0,0,0
0,5,4,0,0,0
1,18,7,2,0,0
2,67,9,2,0,0
3,136,10,2,0,0
5,241,12,4,0,0
6,270,13,8,0,0
6,291,13,8,0,0
7,319,13,12,0,0
7,319,13,12,0,0
6,305,13,10,0,0
5,260,12,14,0,0
4,191,10,14,0,0
2,86,7,12,0,0
1,59,6,10,0,0
1,39,5,10,0,0
0,8,3,6,0,0
0,8,3,6,0,0
0,8,3,6,0,0
0,8,3,6,0,0
0,8,3,6,0,0
0,8,3,6,0,0
2,55,6,6,0,0
2,93,8,6,0,0
2,135,8,6,0,0
5,221,11,10,0,0
5,240,12,20,0,0
5,284,14,16,0,0
6,329,14,16,0,0
