SYNBool,TCPCount,RSTCount,SSHCount,ThirdMNumberPackets,CorJSCount
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
1,8,0,0,1938.105469,1
0,0,0,0,0.65625,0
0,0,0,0,0.65625,0
0,0,0,0,0.75,0
0,0,0,0,0.75,0
0,0,0,0,0.46875,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0.46875,0
0,0,0,0,0.75,0
0,0,0,0,0.75,0
0,0,0,0,0.52734375,0
0,0,0,0,0.08203125,0
0,0,0,0,0.52734375,0
0,0,0,0,0.52734375,0
0,0,0,0,0.52734375,0
0,0,0,0,0.52734375,0
0,0,0,0,0.52734375,0
0,0,0,0,0.52734375,0
0,0,0,0,0.65625,0
0,0,0,0,0.65625,0
0,0,0,0,0.08203125,0
0,0,0,0,0.52734375,0
0,0,0,0,0.52734375,0
1,6,0,0,50.625,0
1,10,0,0,38.61328125,0
1,10,0,0,38.61328125,0
2,18,0,0,1483.96875,6
2,18,0,0,1483.96875,6
2,18,0,0,1483.96875,6
2,18,0,0,1533,6
2,18,0,0,1509.785156,6
1,12,0,0,1726.59375,6
1,8,0,0,1852.03125,6
1,8,0,0,1852.03125,6
0,0,0,0,0.09375,0
0,0,0,0,0.09375,0
0,0,0,0,0.22265625,0
0,0,0,0,0.22265625,0
0,0,0,0,0.375,0
0,0,0,0,0.09375,0
0,0,0,0,0.09375,0
0,0,0,0,0.09375,0
0,0,0,0,0.08203125,0
0,0,0,0,0.08203125,0
0,0,0,0,0.08203125,0
0,0,0,0,0.08203125,0
0,0,0,0,0.08203125,0
0,0,0,0,0.08203125,0
0,0,0,0,0.65625,0
1,12,0,0,2612.15625,1
1,17,0,0,2226.28125,2
1,17,0,0,2147.25,2
1,17,0,0,2147.25,2
1,17,0,0,2112.035156,2
2,23,0,0,1389.972656,2
3,68,0,0,7755.75,2
3,68,0,0,7853.90625,2
2,56,0,0,11413.40625,1
2,51,0,0,14250.76172,0
2,51,0,0,14472.50391,0
2,51,0,0,14250.76172,0
2,51,0,0,14250.76172,0
1,45,0,0,16352.82422,0
0,0,0,0,0.28125,0
0,0,0,0,0.28125,0
0,0,0,0,0,0
0,0,0,0,0.19921875,0
0,0,0,0,-0.19921875,0
1,19,0,0,18602.37891,7
1,19,0,0,18731.25,7
1,27,0,0,17458.34766,7
1,27,0,0,17705.12109,7
1,27,0,0,17705.12109,7
1,27,0,0,17833.96875,7
1,27,0,0,17833.96875,7
1,27,0,0,18090,7
0,8,0,0,50.625,0
0,8,0,0,50.625,0
0,0,0,0,0.52734375,0
0,0,0,0,0.52734375,0
0,0,0,0,0.375,0
0,0,0,0,0.50390625,0
0,0,0,0,0.50390625,0
1,10,0,0,3017.074219,0
2,28,0,0,11876.15625,1
2,37,0,0,9285.550781,1
2,74,0,0,70753.37109,1
2,124,0,0,133702.3945,1
2,174,0,0,78772.03125,1
2,222,0,0,-18839.71875,1
2,269,0,0,-72333.46875,1
1,309,0,0,-121390.125,1
1,339,0,0,-162179.543,1
1,331,0,0,-232902.4805,1
1,299,0,0,-268863.8438,1
1,255,0,0,-156700.7227,1
1,205,0,0,1898.71875,1
1,157,0,0,179350.418,1
2,119,0,0,288538.875,2
3,79,0,0,290940.75,2
2,31,0,0,393.1523438,1
2,30,0,0,384.75,1
3,33,0,0,298.96875,4
3,27,0,0,892.7929688,4
3,27,0,0,905.34375,4
3,27,0,0,905.34375,4
3,26,0,0,1004.261719,3
2,16,0,0,1050.46875,3
2,16,0,0,1066.441406,3
2,16,0,0,1066.441406,3
1,8,0,0,1449.785156,0
2,20,0,0,3638.25,1
3,28,0,0,1838.917969,2
4,36,0,0,579.09375,6
4,36,0,0,839.4257813,7
5,44,0,0,-792.9960938,8
6,53,0,0,-2000.167969,9
7,70,0,0,-1755.808594,11
8,79,0,0,245.3320313,12
8,83,0,0,283.0429688,13
7,80,0,0,319.21875,13
6,72,0,0,-2509.5,9
5,64,0,0,-3119.753906,8
4,56,0,0,66.75,7
3,47,0,0,3030.375,6
2,30,0,0,4751.25,4
1,21,0,0,4279.277344,3
0,5,0,0,764.25,1
1,8,0,0,1812.527344,3
1,8,0,0,1756.253906,3
1,8,0,0,1730.53125,3
1,8,0,0,1730.53125,3
1,8,0,0,1730.53125,3
1,8,0,0,1730.53125,3
1,8,0,0,1730.53125,3
1,8,0,0,1785.375,3
0,0,0,0,3.57421875,0
0,0,0,0,4.62890625,0
0,0,0,0,5.25,0
0,0,0,0,0,0
0,0,0,0,2.21484375,0
0,0,0,0,2.53125,0
0,0,0,0,2.53125,0
1,3,0,0,1.58203125,0
2,22,0,0,5110.40625,1
3,30,0,0,4373.90625,2
4,47,0,0,5244.691406,10
5,55,0,0,2660.847656,11
5,55,0,0,2703.28125,11
6,63,0,0,164.1210938,12
7,71,0,0,-1675.5,13
6,73,0,0,-1657.96875,16
5,54,0,0,-812.34375,15
4,46,0,0,1065,14
3,29,0,0,240.9960938,6
3,33,0,0,162.4570313,6
4,42,0,0,-917.71875,7
3,39,0,0,-886.6054688,7
2,31,0,0,69.75,6
3,29,0,0,841.3242188,3
3,33,0,0,252.28125,3
3,39,0,0,-104.6601563,3
3,46,0,0,-309.09375,3
2,39,0,0,-244.6523438,2
1,36,0,0,-127.21875,1
1,39,0,0,-254.7070313,0
1,40,0,0,-167.5429688,0
1,82,0,0,179577.1758,0
1,78,0,0,188270.2383,0
2,84,0,0,154254.668,1
2,85,0,0,144904.875,2
2,87,0,0,144904.875,2
2,81,0,0,151599.2813,2
2,73,0,0,160768.0313,2
2,72,0,0,161721.375,2
1,27,0,0,18796.875,2
1,27,0,0,18796.875,2
0,15,0,0,1775.167969,1
1,19,0,0,1957.5,0
1,12,0,0,2443.792969,0
2,25,0,0,7383.105469,4
2,25,0,0,7300.5,4
2,25,0,0,7300.5,4
2,25,0,0,7300.5,4
3,36,0,0,5934.011719,5
3,36,0,0,5934.011719,5
2,24,0,0,9945,5
2,24,0,0,9945,5
1,11,0,0,8109.375,1
1,11,0,0,8184.902344,1
1,11,0,0,8109.375,1
1,11,0,0,7794.75,1
1,8,0,0,1074.09375,1
2,17,0,0,1567.886719,2
2,17,0,0,1567.886719,2
2,17,0,0,1512.175781,2
2,17,0,0,1645.628906,2
2,17,0,0,1585.511719,2
2,17,0,0,1612.40625,2
2,17,0,0,1653.316406,2
2,18,0,0,1653.316406,1
1,9,0,0,1083.46875,0
1,9,0,0,1065.621094,0
2,17,0,0,1404,1
2,17,0,0,1287,1
2,17,0,0,1334.71875,1
2,17,0,0,1334.71875,1
2,17,0,0,1422.152344,1
1,8,0,0,1427.71875,1
1,8,0,0,1477.5,1
1,8,0,0,1477.5,1
0,0,0,0,4.62890625,0
0,0,0,0,0.09375,0
0,0,0,0,0.09375,0
0,0,0,0,0.375,0
0,0,0,0,0.375,0
0,0,0,0,0.375,0
0,0,0,0,0.28125,0
0,0,0,0,0.50390625,0
1,3,0,0,0.75,0
1,8,0,0,647.625,1
1,8,0,0,647.625,1
2,18,0,0,527.15625,1
3,27,0,0,777,2
3,27,0,0,777,2
4,39,0,0,561.5273438,3
5,49,0,0,759,4
4,53,0,0,-621.75,5
4,48,0,0,285.1289063,4
4,48,0,0,285.1289063,4
3,38,0,0,759,4
2,29,0,0,2595,3
2,29,0,0,2595,3
1,17,0,0,4423.699219,2
0,7,0,0,2201.53125,1
0,0,0,0,1.13671875,0
0,0,0,0,1.13671875,0
0,0,0,0,1.13671875,0
0,0,0,0,0.46875,0
0,0,0,0,0.75,0
0,0,0,0,0.50390625,0
0,0,0,0,0.50390625,0
0,0,0,0,0.50390625,0
0,0,0,0,0.50390625,0
1,8,0,0,1213.125,1
1,8,0,0,1213.125,1
2,18,0,0,2008.5,2
2,18,0,0,2008.5,2
2,18,0,0,2046.386719,2
2,18,0,0,2046.386719,2
3,29,0,0,2972.25,3
3,29,0,0,2972.25,3
2,21,0,0,4798.324219,2
3,36,0,0,5422.5,2
2,26,0,0,8947.96875,1
2,26,0,0,8397.011719,1
2,26,0,0,8397.011719,1
2,26,0,0,8210.800781,1
1,15,0,0,9030,0
1,15,0,0,8868.46875,0
1,15,0,0,8791.839844,0
0,0,0,0,4.125,0
0,3,0,0,28.91015625,0
0,3,0,0,35.34375,0
0,3,0,0,35.34375,0
0,3,0,0,39.75,0
0,3,0,0,39.75,0
0,3,0,0,39.75,0
0,3,0,0,41.91796875,0
0,3,0,0,47.47265625,0
0,0,0,0,0.50390625,0
1,9,0,0,2116.582031,1
1,9,0,0,2085.84375,1
1,9,0,0,2085.84375,1
1,9,0,0,2085.84375,1
1,9,0,0,2085.84375,1
1,9,0,0,2023.875,1
1,9,0,0,2023.875,1
1,9,0,0,2053.277344,1
1,12,0,0,5353.40625,1
1,12,0,0,5353.40625,1
1,12,0,0,5353.40625,1
1,12,0,0,5353.40625,1
1,12,0,0,5413.816406,1
1,12,0,0,5533.652344,1
1,12,0,0,5413.816406,1
2,20,0,0,4302,2
1,8,0,0,921.9023438,1
1,8,0,0,939.84375,1
1,8,0,0,939.84375,1
1,8,0,0,921.9023438,1
1,8,0,0,902.625,1
1,8,0,0,902.625,1
1,8,0,0,939.84375,1
0,0,0,0,0.52734375,0
0,0,0,0,0.52734375,0
0,0,0,0,0.52734375,0
1,9,0,0,1908.75,1
1,9,0,0,1908.75,1
1,9,0,0,1970.15625,1
1,9,0,0,1908.75,1
1,9,0,0,1880.050781,1
1,9,0,0,1880.050781,1
1,9,0,0,1880.050781,1
1,9,0,0,1880.050781,1
0,0,0,0,0.375,0
0,0,0,0,0.52734375,0
0,0,0,0,0.52734375,0
0,0,0,0,0.08203125,0
0,0,0,0,0,0
0,0,0,0,0.65625,0
1,8,0,0,958.3007813,1
1,8,0,0,958.3007813,1
1,8,0,0,958.3007813,1
1,8,0,0,958.3007813,1
1,8,0,0,958.3007813,1
1,8,0,0,958.3007813,1
1,8,0,0,958.3007813,1
1,8,0,0,998.0742188,1
0,0,0,0,0.65625,0
0,0,0,0,0.52734375,0
0,0,0,0,3.57421875,0
0,0,0,0,3.57421875,0
0,0,0,0,2.42578125,0
0,0,0,0,2.42578125,0
0,0,0,0,2.42578125,0
0,0,0,0,2.42578125,0
0,0,0,0,3.57421875,0
0,0,0,0,4.21875,0
0,0,0,0,0.65625,0
0,0,0,0,0.52734375,0
0,0,0,0,0.52734375,0
0,0,0,0,0.375,0
0,0,0,0,0.375,0
0,0,0,0,0.375,0
0,0,0,0,0.375,0
0,0,0,0,3,0
0,0,0,0,3,0
0,0,0,0,3.57421875,0
0,0,0,0,4.03125,0
0,0,0,0,4.03125,0
0,0,0,0,4.21875,2
0,0,0,0,4.21875,2
0,0,0,0,4.21875,2
0,0,0,0,4.03125,2
1,8,0,0,1143.386719,2
1,8,0,0,1143.386719,2
1,8,0,0,1163.90625,2
1,8,0,0,1185.035156,2
2,23,0,0,7745.71875,2
2,23,0,0,7665.527344,2
2,23,0,0,7503.691406,2
2,23,0,0,7503.691406,2
1,15,0,0,9223.03125,2
1,15,0,0,9223.03125,2
2,25,0,0,8145.84375,2
2,25,0,0,8145.84375,2
2,20,0,0,1678.792969,1
2,20,0,0,1704.84375,1
2,20,0,0,1763.25,1
2,20,0,0,1735.347656,1
3,28,0,0,1449.375,1
3,28,0,0,1392.28125,1
2,18,0,0,1931.71875,1
2,18,0,0,1859.625,1
1,8,0,0,1169.15625,0
1,8,0,0,1169.15625,0
1,8,0,0,1149.011719,0
1,8,0,0,1169.15625,0
0,0,0,0,0.50390625,0
0,0,0,0,0.375,0
0,0,0,0,0.375,0
0,0,0,0,0.09375,0
0,0,0,0,0.375,0
0,0,0,0,0.375,0
0,0,0,0,0.52734375,0
0,0,0,0,0.52734375,0
0,0,0,0,0.52734375,0
0,0,0,0,0.65625,0
0,0,0,0,0.65625,0
0,0,0,0,0.52734375,0
0,0,0,0,0.52734375,0
0,0,0,0,0.52734375,0
0,0,0,0,0.50390625,0
0,0,0,0,0.50390625,0
1,9,0,0,2271.375,1
1,9,0,0,2271.375,1
1,9,0,0,2206.40625,1
1,9,0,0,2237.191406,1
1,9,0,0,2303.589844,1
1,9,0,0,2271.375,1
2,18,0,0,2147.625,2
3,26,0,0,1231.875,3
2,17,0,0,1357.03125,2
2,17,0,0,1357.03125,2
2,17,0,0,1357.03125,2
2,17,0,0,1357.03125,2
2,17,0,0,1357.03125,2
2,17,0,0,1384.816406,2
1,8,0,0,1070.683594,1
0,0,0,0,1.40625,0
0,0,0,0,1.81640625,0
1,8,0,0,899.625,1
1,8,0,0,937.21875,1
2,17,0,0,1418.472656,2
2,17,0,0,1418.472656,2
2,17,0,0,1418.472656,2
2,17,0,0,1418.472656,2
3,25,0,0,906.8320313,8
3,25,0,0,854.5898438,8
2,17,0,0,1426.160156,7
2,17,0,0,1366.792969,7
1,8,0,0,902.625,6
1,8,0,0,902.625,6
1,8,0,0,902.625,6
1,8,0,0,902.625,6
1,8,0,0,1483.5,0
1,8,0,0,1483.5,0
1,8,0,0,1483.5,0
1,8,0,0,1509.949219,0
2,16,0,0,1703.90625,0
2,18,0,0,1290,0
2,27,0,0,588,0
2,37,0,0,-102.2929688,0
1,34,0,0,50.71875,0
1,78,0,0,70959.90234,0
1,79,0,0,70584.31641,0
1,83,0,0,67714.58203,0
0,82,0,0,73804.5,0
0,80,0,0,76326.84375,0
0,71,0,0,83992.78125,0
1,72,0,0,77624.05078,1
1,67,0,0,83440.11328,1
1,23,0,0,2446.96875,1
1,22,0,0,2547.480469,1
1,18,0,0,3143.90625,1
1,11,0,0,3630,1
1,11,0,0,3630,1
1,11,0,0,3731.71875,1
0,0,0,0,0.65625,0
0,0,0,0,0.52734375,0
0,0,0,0,0.50390625,0
0,0,0,0,0.50390625,0
0,0,0,0,0.50390625,0
0,0,0,0,0.50390625,0
0,0,0,0,0.50390625,0
0,0,0,0,3.57421875,0
0,0,0,0,2.42578125,0
1,11,0,0,1572.75,0
1,15,0,0,1389,0
1,15,0,0,1363.488281,0
1,15,0,0,1311.433594,0
1,15,0,0,1235.53125,0
1,15,0,0,1235.53125,0
1,15,0,0,1235.53125,2
1,15,0,0,1280.625,2
1,13,0,0,1067.34375,3
1,9,0,0,1200.375,3
1,9,0,0,1220.214844,3
1,9,0,0,1220.214844,3
1,9,0,0,1169.003906,3
1,9,0,0,1169.003906,3
1,9,0,0,1263.457031,1
1,9,0,0,1263.457031,1
0,0,0,0,8.44921875,0
0,0,0,0,8.44921875,0
0,0,0,0,6.55078125,0
1,8,0,0,1779.375,0
1,16,0,0,1707.65625,0
1,28,0,0,1047.011719,0
1,28,0,0,1023.75,0
1,28,0,0,975.65625,0
1,28,0,0,975.65625,0
1,28,0,0,975.65625,0
1,28,0,0,1023.75,0
0,20,0,0,1197,0
0,12,0,0,1191.878906,0
0,0,0,0,0.375,0
0,0,0,0,0.52734375,0
0,0,0,0,0.08203125,0
0,0,0,0,0.09375,0
0,0,0,0,0.09375,0
0,0,0,0,0.09375,0
0,0,0,0,0.08203125,0
0,0,0,0,0.08203125,0
0,0,0,0,0.08203125,0
0,0,0,0,0.08203125,0
0,0,0,0,0.08203125,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0.08203125,0
0,0,0,0,0.08203125,0
0,0,0,0,0.08203125,0
0,0,0,0,0.08203125,0
0,0,0,0,0.08203125,0
0,0,0,0,0.08203125,0
0,0,0,0,0.08203125,0
0,0,0,0,0.08203125,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0.08203125,0
0,0,0,0,0.52734375,0
0,0,0,0,0.52734375,0
0,0,0,0,0.52734375,0
0,0,0,0,0.375,0
0,0,0,0,0.375,0
0,0,0,0,0.375,0
0,0,0,0,0.375,0
0,0,0,0,0.52734375,0
0,0,0,0,0.08203125,0
0,0,0,0,0.09375,0
0,0,0,0,0.375,0
0,0,0,0,0.375,0
0,0,0,0,1.04296875,0
0,0,0,0,1.04296875,0
0,2,0,0,26.26171875,0
0,7,0,0,258.75,0
0,13,0,0,222.75,0
0,19,0,0,110.9882813,0
0,25,0,0,-83.07421875,0
0,31,0,0,-251.1914063,0
0,35,0,0,-277.875,0
1,57,0,0,1373.90625,0
1,55,0,0,1188,0
1,50,0,0,1393.792969,0
1,44,0,0,1937.332031,0
1,38,0,0,2831.917969,0
1,32,0,0,3901.160156,0
1,26,0,0,5032.03125,0
1,22,0,0,5822.34375,0
0,0,0,0,0.50390625,0
0,0,0,0,0.50390625,0
0,0,0,0,0.50390625,0
0,0,0,0,0.52734375,0
0,0,0,0,0.375,0
0,0,0,0,0.375,0
0,0,0,0,0.375,0
0,0,0,0,0.375,0
0,0,0,0,0.375,0
0,0,0,0,0.09375,0
0,0,0,0,0.375,0
0,0,0,0,0.22265625,0
0,0,0,0,0.375,0
0,0,0,0,0.375,0
0,0,0,0,0.375,0
0,0,0,0,0.375,0
0,0,0,0,0.52734375,0
0,0,0,0,0.52734375,0
0,0,0,0,0.08203125,0
0,0,0,0,0,0
