ARPCount8,ARPCount16,ARPCount60,UDPCount60
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
0,-1,-1,-1
0,-1,-1,-1
0,-1,-1,-1
0,-1,-1,-1
0,-1,-1,-1
0,-1,-1,-1
0,-1,-1,-1
0,-1,-1,-1
0,0,-1,-1
0,0,-1,-1
0,0,-1,-1
0,0,-1,-1
0,0,-1,-1
0,0,-1,-1
0,0,-1,-1
0,0,-1,-1
0,0,-1,-1
0,0,-1,-1
0,0,-1,-1
0,0,-1,-1
0,0,-1,-1
0,0,-1,-1
0,0,-1,-1
0,0,-1,-1
0,0,-1,-1
0,0,-1,-1
0,0,-1,-1
0,0,-1,-1
0,0,-1,-1
4,4,-1,-1
4,4,-1,-1
4,4,-1,-1
4,4,-1,-1
4,4,-1,-1
4,4,-1,-1
4,4,-1,-1
4,4,-1,-1
0,4,-1,-1
0,4,-1,-1
0,4,-1,-1
0,4,-1,-1
0,4,-1,-1
0,4,-1,-1
0,4,-1,-1
0,4,-1,-1
0,0,-1,-1
0,0,-1,-1
0,0,-1,-1
0,0,-1,-1
0,0,-1,-1
0,0,-1,-1
0,0,-1,-1
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
4,4,8,0
4,4,8,0
4,4,8,0
4,4,8,0
4,4,8,0
4,4,8,0
4,4,8,0
4,4,8,0
0,4,8,0
0,4,8,0
0,4,8,0
0,4,8,0
0,4,8,0
0,4,8,0
0,4,8,0
0,4,8,0
0,0,8,0
0,0,8,0
0,0,8,0
0,0,8,0
0,0,8,0
0,0,8,0
0,0,8,0
0,0,8,0
0,0,8,0
0,0,8,0
0,0,8,0
0,0,8,0
0,0,8,0
4,4,12,0
4,4,12,0
4,4,12,0
8,8,12,0
8,8,12,0
8,8,12,0
8,8,12,0
8,8,12,0
4,8,12,0
6,10,14,0
6,10,14,0
2,10,14,0
2,10,14,0
2,10,14,0
2,10,14,0
2,10,14,0
2,6,14,0
0,6,14,0
0,6,14,0
0,2,14,0
0,2,14,0
0,2,14,0
0,2,14,0
2,4,16,0
2,4,16,0
2,2,16,0
2,2,16,0
2,2,16,0
2,2,16,0
2,2,16,0
2,2,16,0
0,2,12,0
0,2,12,0
0,2,12,0
0,2,12,0
0,2,12,0
0,2,12,0
0,2,12,0
0,2,12,0
0,0,12,0
0,0,12,0
0,0,12,0
0,0,12,0
0,0,12,0
0,0,12,0
0,0,12,0
0,0,12,0
0,0,12,0
0,0,12,0
0,0,12,0
0,0,12,0
0,0,12,0
0,0,12,0
0,0,12,0
0,0,12,0
0,0,12,0
0,0,12,0
0,0,12,0
0,0,12,0
0,0,12,0
0,0,8,0
0,0,8,0
0,0,8,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,2,0
0,0,2,0
0,0,2,0
0,0,2,0
0,0,2,0
0,0,2,0
0,0,2,0
4,4,6,0
4,4,6,0
4,4,6,0
4,4,6,0
4,4,6,0
4,4,6,0
4,4,6,0
4,4,4,0
0,4,4,0
0,4,4,0
2,6,6,0
2,6,6,0
2,6,6,0
2,6,6,0
2,6,6,0
2,6,6,0
2,2,6,0
2,2,6,0
0,2,6,0
0,2,6,0
0,2,6,0
0,2,6,0
0,2,6,0
0,2,6,0
0,2,6,0
0,2,6,0
0,0,6,0
0,0,6,0
0,0,6,0
0,0,6,0
0,0,6,0
0,0,6,0
0,0,6,0
0,0,6,0
0,0,6,0
0,0,6,0
0,0,6,0
0,0,6,0
0,0,6,0
0,0,6,0
0,0,6,0
0,0,6,0
0,0,6,0
0,0,6,0
2,2,8,0
4,4,10,0
4,4,10,0
4,4,10,0
4,4,10,0
4,4,10,0
4,4,10,0
4,4,10,0
2,4,10,0
0,4,10,0
0,4,10,0
0,4,10,0
0,4,10,0
0,4,10,0
0,4,10,0
0,4,10,0
0,2,6,0
0,0,6,0
0,0,6,0
0,0,6,0
0,0,6,0
0,0,6,0
0,0,6,0
2,2,8,0
2,2,8,0
2,2,8,0
2,2,6,0
2,2,6,0
2,2,6,0
2,2,6,0
2,2,6,0
0,2,6,0
0,2,6,0
0,2,6,0
0,2,6,0
0,2,6,0
0,2,6,0
0,2,6,0
0,2,6,0
0,0,6,0
0,0,6,0
0,0,6,0
0,0,6,0
0,0,6,0
0,0,6,0
0,0,6,0
0,0,6,0
2,2,8,0
2,2,8,0
2,2,8,0
4,4,10,0
4,4,10,0
4,4,10,0
4,4,10,0
4,4,10,0
2,4,10,0
2,4,10,0
2,4,10,0
0,4,10,0
2,6,12,0
2,6,10,0
2,6,8,0
2,6,8,0
2,4,8,0
2,4,8,0
2,4,8,0
2,2,8,0
0,2,8,0
0,2,8,0
0,2,8,0
0,2,8,0
0,2,8,0
0,2,8,0
0,2,8,0
0,2,8,0
0,0,8,0
0,0,8,0
0,0,8,0
0,0,8,0
0,0,8,0
0,0,8,0
0,0,8,0
0,0,8,0
0,0,6,0
0,0,6,0
0,0,6,0
0,0,6,0
0,0,6,0
0,0,6,0
0,0,6,0
0,0,6,0
0,0,6,0
0,0,6,0
0,0,6,0
2,2,8,0
2,2,8,0
2,2,8,0
2,2,8,0
2,2,8,0
2,2,8,0
2,2,8,0
2,2,8,0
0,2,8,0
0,2,8,0
0,2,8,0
0,2,8,0
0,2,8,0
0,2,6,0
0,2,6,0
0,2,6,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
