ThirdMomentNumberOfPackets60,SYNCount60,UniqSrcIps60,DNSCount60,TelnetCount60,SSHCount60
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
1087.61425,5,15,16,0,0
948.5872593,4,13,10,0,0
948.5872593,4,13,10,0,0
948.5872593,4,13,10,0,0
946.7719907,4,13,10,0,0
958.28325,5,13,14,0,0
3709.240741,8,13,20,0,0
3709.240741,8,13,20,0,0
3709.240741,8,13,20,0,0
3704.93325,8,14,20,0,0
3713.789343,8,13,20,0,0
3713.789343,8,13,20,0,0
3709.474074,8,13,20,0,0
3718.344,8,13,20,0,0
3718.344,8,14,20,0,0
3718.344,8,14,20,0,0
3709.474074,8,14,20,0,0
3709.474074,8,14,20,0,0
3700.635259,8,14,20,0,0
6594.088,10,16,30,0,0
6594.088,10,16,30,0,0
6536.223407,10,16,30,0,0
6536.223407,10,16,30,0,0
6550,10,15,30,0,0
6543.281676,10,15,30,0,0
6543.281676,10,15,30,0,0
6543.281676,10,15,30,0,0
6529.53025,10,16,30,0,0
6529.53025,10,16,30,0,0
6529.53025,10,16,30,0,0
6529.53025,10,16,30,0,0
6529.53025,10,16,30,0,0
6529.53025,10,16,30,0,0
6529.53025,10,16,30,0,0
6748.483259,10,17,36,11,0
8553.607407,11,18,42,28,0
8394.70425,11,18,42,38,0
27426.73393,10,18,40,111,0
70141.80059,10,18,40,211,0
108031.7653,10,18,40,311,0
137937.2792,10,18,40,409,0
162318.4786,10,18,40,505,0
188843.9953,10,18,40,605,0
222509.7198,11,18,60,674,0
222241.8259,11,18,60,676,0
220845.818,11,18,60,686,0
218938.6678,11,18,70,688,0
218853.6554,11,18,70,688,0
217816.7405,11,18,80,688,0
214842.098,12,19,84,688,0
213725.262,13,19,84,688,0
213725.262,13,19,84,688,0
213725.262,13,19,84,688,0
211228.5567,14,19,86,688,0
211228.5567,14,19,86,688,0
211228.5567,14,19,86,688,0
210235.676,14,19,96,688,0
207238.696,15,20,100,688,0
206269.8302,15,20,110,688,0
206426.4783,15,20,108,688,0
209623.9002,13,20,104,688,0
211906.2027,13,19,104,688,0
207737.3823,15,22,110,688,0
204645.8181,16,22,112,688,0
202198.9378,17,22,112,688,0
201246.056,17,23,108,688,0
202832.6686,15,23,116,688,0
200141.3407,16,23,116,688,0
195196.316,18,24,118,688,0
190924.7194,19,25,122,688,0
186999.7465,21,26,128,688,0
185210.5423,21,26,128,688,0
185275.0461,21,25,128,688,0
185275.0461,21,25,128,688,0
185132.5499,21,25,132,688,0
185132.5499,21,25,132,688,0
185264.2727,21,25,132,688,0
185264.2727,21,25,132,688,0
185264.2727,21,25,132,688,0
188095.7818,20,25,128,688,0
187962.8655,20,25,128,688,0
188575.6263,20,25,128,688,0
188297.6433,20,25,130,688,0
188297.6433,20,25,130,688,0
188363.0074,20,25,130,688,0
188363.0074,20,25,130,688,0
188363.0074,20,25,130,688,0
188496.744,20,24,130,688,0
188496.744,20,24,130,688,0
188496.744,20,24,130,688,0
188496.744,20,24,130,688,0
188357.6407,20,25,130,688,0
188286.9033,20,25,130,688,0
188286.9033,20,25,130,688,0
191255.2907,20,25,122,677,0
192544.4173,21,26,120,660,0
191204.4655,22,26,122,650,0
186918.8887,24,27,124,577,0
166460.6747,25,27,124,477,0
144249.1581,25,27,124,377,0
119601.5759,26,27,124,279,0
93171.71434,27,27,128,183,0
57376.996,27,27,128,83,0
3406.27975,26,27,108,14,0
3412.979407,26,27,110,12,0
3554.461176,26,27,110,2,0
3486.928,28,27,102,0,0
3233.024,29,27,102,0,0
3061.787259,29,27,94,0,0
3339.534491,28,26,90,0,0
3389.143343,28,26,90,1,0
3227.331259,28,26,92,10,0
3078.494176,28,26,92,19,0
3158.684324,27,25,92,27,0
2990.042593,27,25,92,39,0
2863.788,27,25,92,47,0
2802.539991,27,25,82,55,0
3052.704176,26,24,78,56,0
36168.37541,27,25,72,136,0
36168.37541,27,25,72,136,0
36742.83682,29,25,112,137,0
36035.43526,29,25,112,143,0
36486.82607,27,25,106,151,0
37213.32801,26,25,104,151,0
37842.57832,25,25,104,151,0
38456.20726,24,25,104,151,0
39266.45718,23,24,90,151,0
39949.30225,22,24,90,151,0
40437.90532,20,24,88,151,0
40392.80575,21,26,86,151,0
41069.69259,19,26,80,151,0
41069.552,20,26,82,151,0
41051.50484,20,26,82,151,0
41051.50484,20,26,82,151,0
41131.08525,20,26,78,151,0
40505.34074,21,26,80,151,0
40505.34074,21,26,80,151,0
40505.34074,21,26,80,151,0
40542.534,21,25,80,151,0
41156.49766,20,24,78,151,0
41194.75575,20,24,78,151,0
41194.75575,20,24,78,151,0
41194.75575,20,24,78,151,0
40577.57126,21,25,80,151,0
39885.15625,22,25,82,151,0
39885.15625,22,25,82,151,0
39849.42882,22,26,82,151,0
39849.42882,22,26,82,151,0
39813.88518,22,26,84,151,0
39813.88518,22,26,84,151,0
39758.93526,22,26,86,151,0
39206.06874,23,26,86,151,0
39225.16118,23,26,86,151,0
39208.81541,23,26,86,151,0
38614.53807,23,26,88,151,0
39305.09751,21,26,84,151,0
40020.04832,20,26,82,151,0
40468.14141,18,24,80,151,0
41025.09874,17,24,80,151,0
41025.09874,17,24,80,151,0
41652.24793,16,24,80,151,0
42301.61207,15,24,76,151,0
42872.26184,15,24,76,151,0
42872.26184,15,24,76,151,0
42911.46216,15,24,74,151,0
42911.46216,15,24,74,151,0
43542.37132,13,23,72,151,0
44106.34193,12,22,72,151,0
44651.65975,12,22,72,151,0
44651.65975,12,22,72,151,0
44770.58859,12,22,72,150,0
44661.73475,12,22,70,141,0
45019.956,12,22,70,132,0
45140.89734,13,22,68,124,0
44973.76459,14,22,70,112,0
45311.31341,14,22,70,104,0
45087.01875,16,23,70,96,0
44549.628,17,23,78,95,0
6729.782509,16,22,86,15,0
6712.62775,16,22,88,15,0
3718.988,14,22,48,14,0
3764.48975,14,22,50,8,0
3872.736,14,21,50,0,0
3872.736,14,21,50,0,0
3872.736,14,21,50,0,0
3872.736,14,21,50,0,0
3872.736,14,21,50,0,0
3859.928741,14,21,52,0,0
3859.928741,14,21,52,0,0
3862.50625,12,21,52,0,0
3862.50625,12,21,52,0,0
2993.689926,11,19,50,0,0
2998.66225,11,18,50,0,0
2998.66225,11,18,50,0,0
2998.66225,11,18,50,0,0
2079.009491,11,19,48,0,0
2079.009491,11,19,48,0,0
2149.780324,12,21,52,0,0
2149.780324,12,21,52,0,0
2169.569176,12,21,48,0,0
2169.569176,12,21,48,0,0
2611.973991,13,21,54,0,0
2634.741509,13,21,52,0,0
2691.476,12,21,50,0,0
3646.830074,13,21,50,0,0
3646.830074,13,21,50,0,0
3625.301157,13,20,52,0,0
3625.301157,13,20,52,0,0
3625.301157,13,20,50,0,0
3625.301157,13,20,50,0,0
3632.143926,13,21,48,0,0
3702.909259,12,20,48,0,0
3702.909259,12,20,48,0,0
3646.394,12,21,48,0,0
3673.524324,11,21,48,0,0
3698.538509,11,20,48,0,0
3698.538509,11,20,48,0,0
3698.538509,11,20,48,0,0
3686.77575,11,21,48,0,0
3686.77575,11,21,48,0,0
3686.77575,11,21,48,0,0
3686.77575,11,21,48,0,0
3699.64325,12,22,50,0,0
3699.64325,12,22,50,0,0
3699.64325,12,22,50,0,0
3711.789343,12,22,50,0,0
3699.64325,12,22,50,0,0
3687.568491,12,22,52,0,0
3699.64325,12,22,50,0,0
3699.64325,12,22,50,0,0
4071.357491,12,24,50,0,0
4188.62175,12,24,50,0,0
4188.62175,12,24,50,0,0
4281.32475,11,24,50,0,0
4355.246741,10,23,48,0,0
4355.246741,10,23,48,0,0
4357.734491,8,23,50,0,0
3827.987991,8,21,42,0,0
3736.544593,8,21,30,0,0
3747.655407,8,21,28,0,0
3747.655407,8,21,28,0,0
3759.456,8,21,26,0,0
3759.456,8,21,26,0,0
3759.456,8,21,26,0,0
3759.456,8,21,26,0,0
3759.456,8,21,26,0,0
3759.456,8,21,26,0,0
3770.659259,8,21,24,0,0
3816.14925,9,22,26,0,0
3822.251407,9,22,24,0,0
3822.251407,9,22,24,0,0
3816.14925,9,22,24,0,0
3810.475926,9,22,24,0,0
3810.475926,9,22,24,0,0
3810.475926,9,22,24,0,0
3839.33125,8,21,24,0,0
3839.33125,8,21,24,0,0
3746.94375,7,19,20,0,0
3746.94375,7,19,20,0,0
3746.94375,7,19,20,0,0
3746.94375,7,19,20,0,0
3106.112,6,18,14,0,0
3111.855824,7,19,14,0,0
3111.855824,7,19,14,0,0
1755.725926,5,18,12,0,0
1755.725926,5,18,12,0,0
1771.938657,5,17,10,0,0
1771.938657,5,17,10,0,0
1778.22275,5,17,10,0,0
1778.22275,5,17,10,0,0
1778.22275,5,17,10,0,0
1778.22275,5,17,10,0,0
1771.505324,5,17,10,0,0
1797.746074,5,17,10,0,0
1797.746074,5,18,8,0,0
1797.746074,5,18,8,0,0
1797.746074,5,18,8,0,0
1797.746074,5,18,8,0,0
1804.058,5,17,8,0,0
1804.058,5,17,8,0,0
1804.058,5,17,8,0,0
1804.058,5,17,8,0,0
1549.082741,4,16,6,0,0
1549.082741,4,16,6,0,0
1549.082741,4,16,6,0,0
1549.082741,4,16,6,0,0
1554.328,4,16,6,0,0
1548.909407,4,16,4,0,0
1548.909407,4,16,4,0,0
1548.909407,4,16,4,0,0
652.4545926,3,14,4,0,0
652.4545926,3,14,4,0,0
646.7907407,3,15,4,0,0
646.7907407,3,15,4,0,0
648.1851759,3,15,4,0,0
648.1851759,3,15,4,0,0
811.456,4,16,4,0,0
697.3285093,3,15,4,0,0
697.3285093,3,15,4,0,0
697.3285093,3,15,4,0,0
2281.814741,5,17,8,0,0
2281.814741,5,17,8,0,0
2281.814741,5,17,8,0,0
2281.814741,5,17,8,0,0
2275.359259,5,17,10,0,0
2275.359259,5,17,10,0,0
2247.908593,6,17,10,0,0
2247.908593,6,17,10,0,0
2279.892657,6,17,8,0,0
2283.095259,6,17,8,0,0
2283.095259,6,17,8,0,0
2286.49075,6,17,8,0,0
2374.26875,7,17,10,0,0
2367.041324,7,17,12,0,0
2367.041324,7,17,12,0,0
2359.844343,7,17,14,0,0
2359.844343,7,17,14,0,0
2359.844343,7,17,14,0,0
2356.374074,7,17,14,0,0
2356.374074,7,17,14,0,0
2356.374074,7,17,14,0,0
2360.076009,7,17,14,0,0
2314.146074,6,16,14,0,0
2314.146074,6,16,14,0,0
2307.459926,6,16,16,0,0
2307.459926,6,16,16,0,0
2307.459926,6,16,16,0,0
2307.459926,6,16,16,0,0
2307.459926,6,16,16,0,0
2307.459926,6,16,16,0,0
2314.146074,6,15,16,0,0
2314.146074,6,15,16,0,0
2321.218,6,15,16,0,0
2321.218,6,15,16,0,0
2321.218,6,15,16,0,0
2321.218,6,15,16,0,0
2561.382176,7,16,18,0,0
2561.382176,7,16,18,0,0
2553.63475,7,17,18,0,0
2553.63475,7,17,18,0,0
2553.63475,7,17,18,0,0
2553.63475,7,17,18,0,0
2634.42075,8,17,18,0,0
2657.932074,9,17,18,0,0
2653.71875,9,17,18,0,0
2653.71875,9,17,18,0,0
2645.001324,9,18,18,0,0
2663.366176,9,18,18,0,0
2663.366176,9,18,18,0,0
2663.366176,9,18,18,0,0
2667.596,9,18,18,0,0
2658.278741,9,18,18,0,0
2676.742593,9,17,18,0,0
2669.49525,10,17,18,0,0
2669.49525,10,17,18,0,0
2708.4,11,18,20,0,0
2704.984491,10,17,18,0,0
2704.984491,10,17,18,0,0
2704.984491,10,17,18,0,0
2683.336593,11,19,18,0,0
1443.523157,9,18,16,0,0
1443.523157,9,18,16,0,0
1443.523157,9,18,16,0,0
1443.523157,9,18,16,0,0
1450.28925,9,18,14,0,0
1450.28925,9,18,14,0,0
1487.45225,8,18,14,0,0
1576.748,9,18,16,0,0
1401.572741,8,18,18,0,0
1398.43725,8,19,18,0,0
1395.313259,8,19,18,0,0
1491.468,9,19,20,11,0
1405.98425,8,18,20,16,0
1445.468343,8,18,18,31,0
1430.481926,8,18,18,42,0
1391.802,8,18,16,53,0
19673.80725,8,18,21,115,0
19637.7,8,18,21,117,0
19482.216,8,18,21,126,0
19353.61526,8,18,21,129,0
19353.61526,8,18,21,129,0
19316.79884,8,18,23,129,0
19204.60584,9,19,31,129,0
19204.60584,9,19,31,129,0
19227.91749,9,19,29,129,0
19227.91749,9,19,29,129,0
19227.91749,9,19,29,129,0
19227.91749,9,19,29,129,0
19227.91749,9,19,29,129,0
19204.60584,9,19,31,129,0
19204.60584,9,19,31,129,0
19204.60584,9,19,31,129,0
19204.60584,9,19,31,129,0
19204.60584,9,19,31,129,0
19227.91749,9,18,31,129,0
19227.91749,9,18,31,129,0
19442.05659,8,18,29,129,0
19393.51674,8,18,29,129,0
19393.51674,8,19,29,129,0
19151.8,10,22,31,129,0
18896.03859,10,22,31,129,0
18896.03859,10,22,31,129,0
19132.97993,9,21,31,129,0
19349.07984,8,19,33,129,0
19360.212,8,19,33,129,0
19312.22593,8,20,34,129,0
19335.05474,8,19,34,129,0
19084.86059,9,19,34,129,0
19084.86059,9,19,34,129,0
19084.86059,9,19,34,129,0
19062.182,9,20,34,129,0
19036.21807,9,20,36,129,0
19036.21807,9,20,36,129,0
19287.70625,8,20,36,129,0
19287.70625,8,20,36,129,0
19523.864,7,19,34,129,0
19523.864,7,19,34,129,0
19501.04074,7,19,34,129,0
19278.34518,8,20,42,140,0
19278.34518,7,18,42,155,0
19045.096,7,18,40,168,0
19045.096,7,18,40,168,0
19045.096,7,18,40,168,0
19045.096,7,18,40,168,0
19045.096,7,18,40,168,0
19045.096,7,18,40,168,0
19034.11951,7,18,40,168,0
19284.34126,6,18,38,168,0
19307.16874,6,18,36,168,0
19318.28034,6,18,36,168,0
19329.416,6,18,36,168,0
19554.66459,5,18,34,157,0
19682.912,5,17,32,152,0
19915.616,5,17,32,137,0
20138.15825,5,17,32,126,0
20328.64699,5,17,32,115,0
1504.505407,5,17,27,53,0
1514.694824,5,17,27,51,0
1550.876593,5,17,27,42,0
1583.544,5,16,27,39,0
1583.544,5,16,27,39,0
1594.40625,5,16,25,39,0
1138.01925,4,15,17,39,0
1138.01925,4,15,17,39,0
1138.01925,4,15,17,39,0
1138.01925,4,15,17,39,0
1138.01925,4,15,17,39,0
1138.01925,4,15,17,39,0
1138.01925,4,15,17,39,0
1143.277343,4,15,15,39,0
1143.277343,4,15,15,39,0
1143.277343,4,15,15,39,0
1143.277343,4,15,15,39,0
1143.277343,4,15,15,39,0
1143.277343,4,15,15,39,0
1140.751407,4,15,15,39,0
1140.751407,4,15,15,39,0
1151.747259,4,15,15,39,0
1157.060074,4,15,15,39,0
963.5105926,2,14,13,39,0
886.016,2,12,13,39,0
886.016,2,12,13,39,0
886.016,2,12,13,39,0
890.0759259,2,12,11,39,0
884.1195093,2,12,11,39,0
892.02925,2,11,10,39,0
878.9679907,2,12,10,43,0
725.7847407,1,10,10,55,0
739.428,1,10,10,65,0
764.616,1,10,10,77,0
787.2032593,1,9,10,89,0
820.376,1,8,8,101,0
801.308,1,8,8,109,0
1601.072,2,8,12,121,0
1594.511407,2,9,12,121,0
1594.511407,2,9,12,121,0
1587.992593,2,9,12,121,0
1594.511407,2,9,12,121,0
