CVPacketSize60,UniqSrcIps32,RSTCount60
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,10,-1
-1,7,-1
-1,10,-1
-1,10,-1
-1,10,-1
-1,11,-1
-1,11,-1
-1,11,-1
-1,11,-1
-1,11,-1
-1,10,-1
-1,10,-1
-1,10,-1
-1,10,-1
-1,9,-1
-1,9,-1
-1,9,-1
-1,9,-1
-1,9,-1
-1,9,-1
-1,9,-1
-1,9,-1
-1,9,-1
-1,8,-1
-1,8,-1
-1,8,-1
-1,8,-1
-1,8,-1
1.328585812,10,0
1.367242157,10,0
1.367242157,10,0
1.367242157,10,0
1.364244298,10,0
1.536167386,11,0
1.763836146,11,0
1.763836146,11,0
1.763836146,11,0
1.764329441,11,0
1.761486907,11,0
1.760381265,11,0
1.760897434,11,0
1.75800867,11,0
1.75800867,12,0
1.75800867,12,0
1.760897434,12,0
1.760897434,12,0
1.763708618,12,0
1.793298437,15,0
1.793298437,15,0
1.808820421,15,0
1.808820421,15,0
1.807340489,15,0
1.800537516,15,0
1.800537516,15,0
1.800537516,15,0
1.802025654,16,0
1.802025654,16,0
1.802025654,16,0
1.802025654,16,0
1.802025654,16,0
1.802025654,15,0
1.802025654,14,0
1.826620446,15,0
1.856529131,16,0
1.878930062,16,0
1.972699361,16,0
1.95930861,16,0
1.840445533,16,0
1.742970801,16,0
1.658407446,16,0
1.582156636,16,0
1.695355213,16,0
1.695696776,15,0
1.698890963,15,0
1.69676272,15,0
1.696520148,15,0
1.693549378,15,0
1.699687105,16,0
1.699655117,17,0
1.699655117,14,0
1.699655117,14,0
1.695868825,14,0
1.695868825,14,0
1.695868825,14,0
1.693123654,14,0
1.687316402,16,0
1.684595435,16,0
1.685235609,15,0
1.688560642,15,0
1.691168219,15,0
1.696614373,18,0
1.703070363,18,0
1.710352779,18,0
1.713719856,19,0
1.561882749,19,0
1.578418697,19,0
1.602440379,21,0
1.602265766,22,0
1.598702967,23,0
1.599563444,23,0
1.599936946,23,0
1.599936946,23,0
1.598969622,22,0
1.598969622,22,0
1.59939128,22,0
1.59939128,22,0
1.59939128,22,0
1.574200253,23,0
1.573757363,23,0
1.573391852,22,0
1.572246498,23,0
1.572246498,23,0
1.57374254,23,0
1.57374254,22,0
1.57374254,22,0
1.574185295,22,0
1.574185295,22,0
1.574185295,21,0
1.574185295,21,0
1.57374254,22,0
1.573555453,22,0
1.573555453,22,0
1.577226701,21,0
1.582559244,23,0
1.587914228,23,0
1.581464554,23,0
1.600244982,22,0
1.646503835,21,0
1.696573271,20,0
1.7452521,20,0
1.794559765,20,0
1.75123054,19,0
1.749373791,19,0
1.744601841,20,0
1.74178661,21,0
1.738365649,22,0
1.73504533,22,0
1.72981256,22,0
1.730393986,21,0
1.732141785,20,0
1.736174944,20,0
1.744097548,20,0
1.74841571,19,0
1.751704243,19,0
1.75333279,19,0
1.761869293,19,0
1.779537004,20,0
1.779537004,20,0
1.752062445,20,0
1.746930183,20,0
1.743073621,20,0
1.733566128,20,0
1.719674888,20,0
1.702838568,20,0
1.692449004,20,0
1.670101929,20,0
1.622159345,20,0
1.639363367,19,0
1.651440465,19,0
1.658541654,21,0
1.657560188,21,0
1.657560188,20,0
1.661248923,19,0
1.92181329,19,0
1.92181329,19,0
1.92181329,17,0
1.922329705,16,0
1.929649161,15,0
1.930156918,15,0
1.930156918,15,0
1.930331487,17,0
1.922777754,18,0
1.917916119,18,0
1.917916119,18,0
1.917397806,19,0
1.917397806,19,0
1.916271794,19,0
1.916271794,19,0
1.915167838,17,0
1.910096716,18,0
1.910294132,18,0
1.910030876,18,0
1.903576053,18,0
1.908944741,19,0
1.914675873,19,0
1.927251773,19,0
1.931196126,19,0
1.931196126,19,0
1.936931568,19,0
1.9458402,19,0
1.953602061,19,0
1.953602061,16,0
1.955120259,15,0
1.955120259,15,0
1.968408317,15,0
1.981974508,13,0
1.9991211,13,0
1.9991211,13,0
1.998116177,14,0
1.986816972,14,0
1.981987435,14,0
1.979707551,14,0
1.964581063,14,0
1.959416997,14,0
1.958663166,14,0
1.945609987,16,0
1.885834609,15,0
1.885108383,15,0
1.893352606,15,0
1.885828128,15,0
1.870310359,15,0
1.870310359,14,0
1.870310359,14,0
1.870310359,14,0
1.870310359,14,0
1.870005975,13,0
1.870005975,13,0
1.869755791,13,0
1.869755791,13,0
1.872230971,13,0
1.872398624,13,0
1.872398624,13,0
1.872398624,13,0
1.690790715,15,0
1.690790715,15,0
1.675313077,15,0
1.675313077,15,0
1.681404367,15,0
1.681404367,15,0
1.816955914,16,0
1.819834198,16,0
1.83398784,15,0
1.819598179,16,0
1.819598179,16,0
1.817179351,16,0
1.817179351,16,0
1.818471612,16,0
1.818471612,14,0
1.819695397,14,0
1.829965436,14,0
1.829965436,14,0
1.830949118,15,0
1.838908005,15,0
1.837606396,15,0
1.837606396,15,0
1.837606396,15,0
1.836659116,16,0
1.836659116,16,0
1.836659116,16,0
1.836659116,16,0
1.862306838,18,0
1.862306838,18,0
1.862306838,18,0
1.86280704,18,0
1.862306838,18,0
1.860524088,17,0
1.863318769,17,0
1.863318769,15,0
1.875629721,17,0
1.873330757,17,0
1.873330757,17,0
1.861290681,16,0
1.851322529,16,0
1.851322529,16,0
1.845981694,14,0
1.850879691,16,0
1.85594215,15,0
1.855392926,15,0
1.855392926,15,0
1.855020866,15,0
1.855020866,14,0
1.855020866,14,0
1.855020866,14,0
1.855020866,13,0
1.855020866,13,0
1.854411571,13,0
1.87467187,14,0
