NumberOfPackets1,SYNCount60,UniqSrcIps60,DNSCount60,RSTCount32,RSTCount60,SSHCount60
29,-1,-1,-1,-1,-1,-1
2,-1,-1,-1,-1,-1,-1
0,-1,-1,-1,-1,-1,-1
0,-1,-1,-1,-1,-1,-1
0,-1,-1,-1,-1,-1,-1
0,-1,-1,-1,-1,-1,-1
0,-1,-1,-1,-1,-1,-1
0,-1,-1,-1,-1,-1,-1
0,-1,-1,-1,-1,-1,-1
2,-1,-1,-1,-1,-1,-1
2,-1,-1,-1,-1,-1,-1
0,-1,-1,-1,-1,-1,-1
2,-1,-1,-1,-1,-1,-1
2,-1,-1,-1,-1,-1,-1
0,-1,-1,-1,-1,-1,-1
0,-1,-1,-1,-1,-1,-1
0,-1,-1,-1,-1,-1,-1
0,-1,-1,-1,-1,-1,-1
0,-1,-1,-1,-1,-1,-1
0,-1,-1,-1,-1,-1,-1
1,-1,-1,-1,-1,-1,-1
0,-1,-1,-1,-1,-1,-1
2,-1,-1,-1,-1,-1,-1
0,-1,-1,-1,-1,-1,-1
0,-1,-1,-1,-1,-1,-1
0,-1,-1,-1,-1,-1,-1
0,-1,-1,-1,-1,-1,-1
0,-1,-1,-1,-1,-1,-1
0,-1,-1,-1,-1,-1,-1
0,-1,-1,-1,-1,-1,-1
1,-1,-1,-1,-1,-1,-1
2,-1,-1,-1,0,-1,-1
0,-1,-1,-1,0,-1,-1
9,-1,-1,-1,0,-1,-1
5,-1,-1,-1,0,-1,-1
0,-1,-1,-1,0,-1,-1
29,-1,-1,-1,0,-1,-1
0,-1,-1,-1,0,-1,-1
1,-1,-1,-1,0,-1,-1
0,-1,-1,-1,0,-1,-1
1,-1,-1,-1,0,-1,-1
2,-1,-1,-1,0,-1,-1
1,-1,-1,-1,0,-1,-1
0,-1,-1,-1,0,-1,-1
1,-1,-1,-1,0,-1,-1
0,-1,-1,-1,0,-1,-1
0,-1,-1,-1,0,-1,-1
0,-1,-1,-1,0,-1,-1
0,-1,-1,-1,0,-1,-1
0,-1,-1,-1,0,-1,-1
1,-1,-1,-1,0,-1,-1
0,-1,-1,-1,0,-1,-1
0,-1,-1,-1,0,-1,-1
0,-1,-1,-1,0,-1,-1
0,-1,-1,-1,0,-1,-1
0,-1,-1,-1,0,-1,-1
0,-1,-1,-1,0,-1,-1
0,-1,-1,-1,0,-1,-1
2,-1,-1,-1,0,-1,-1
32,5,15,16,0,0,0
24,4,13,10,0,0,0
2,4,13,10,0,0,0
0,4,13,10,0,0,0
1,4,13,10,0,0,0
16,5,13,14,0,0,0
59,8,13,20,0,0,0
0,8,13,20,0,0,0
0,8,13,20,0,0,0
1,8,14,20,0,0,0
0,8,13,20,0,0,0
2,8,13,20,0,0,0
1,8,13,20,0,0,0
0,8,13,20,0,0,0
2,8,14,20,0,0,0
0,8,14,20,0,0,0
2,8,14,20,0,0,0
0,8,14,20,0,0,0
2,8,14,20,0,0,0
62,10,16,30,0,0,0
0,10,16,30,0,0,0
9,10,16,30,0,0,0
0,10,16,30,0,0,0
0,10,15,30,0,0,0
1,10,15,30,0,0,0
0,10,15,30,0,0,0
0,10,15,30,0,0,0
2,10,16,30,0,0,0
0,10,16,30,0,0,0
0,10,16,30,0,0,0
0,10,16,30,0,0,0
1,10,16,30,0,0,0
2,10,16,30,0,0,0
0,10,16,30,0,0,0
34,10,17,36,0,0,0
57,11,18,42,0,0,0
19,11,18,42,0,0,0
114,10,18,40,0,0,0
150,10,18,40,0,0,0
150,10,18,40,0,0,0
146,10,18,40,0,0,0
144,10,18,40,0,0,0
152,10,18,40,0,0,0
166,11,18,60,0,0,0
3,11,18,60,0,0,0
15,11,18,60,0,0,0
