"R"," R", "455","08:03:09.574738","","","LOOP","60","Reply"
"R"," R", "456","08:03:12.131124","172.16.112.50","172.16.112.10","NTP","90","NTP Version 3, client"
"R"," R", "457","08:03:12.131632","172.16.112.10","172.16.112.50","NTP","90","NTP Version 3, server"
"R"," R", "458","08:03:12.211081","172.16.112.20","192.168.1.20","DNS","78","Standard query 0x29d2 A home.microsoft.com"
"R"," R", "459","08:03:12.215590","192.168.1.20","172.16.112.20","DNS","138","Standard query response 0x29d2 A home.microsoft.com A 207.46.179.15 NS aesop.world.net A 192.168.1.20"
"R"," R", "460","08:03:12.219214","172.16.114.207","207.46.179.15","TCP","60","1024 → 80 [SYN] Seq=0 Win=512 Len=0 MSS=1460"
"R"," R", "461","08:03:14.284446","172.16.112.20","172.16.255.255","RIPv1","66","Response"
"R"," R", "462","08:03:14.284641","172.16.112.20","172.16.118.255","RIPv1","66","Response"
"R"," R", "463","08:03:15.213759","172.16.114.207","207.46.179.15","TCP","60","[TCP Retransmission] 1024 → 80 [SYN] Seq=0 Win=32120 Len=0 MSS=1460"
"R"," R", "464","08:03:15.222673","207.46.179.15","172.16.114.207","TCP","60","80 → 1024 [SYN, ACK] Seq=0 Ack=1 Win=32736 Len=0 MSS=1460"
"R"," R", "465","08:03:15.222917","172.16.114.207","207.46.179.15","TCP","60","1024 → 80 [ACK] Seq=1 Ack=1 Win=32120 Len=0"
"R"," R", "466","08:03:15.223569","172.16.114.207","207.46.179.15","HTTP","291","GET / HTTP/1.0 "
"R"," R", "467","08:03:15.241719","207.46.179.15","172.16.114.207","TCP","60","80 → 1024 [ACK] Seq=1 Ack=238 Win=32736 Len=0"
"R"," R", "468","08:03:15.305389","207.46.179.15","172.16.114.207","HTTP","651","HTTP/1.1 302 Object moved  (text/html)"
"R"," R", "469","08:03:15.305450","207.46.179.15","172.16.114.207","TCP","60","80 → 1024 [FIN, ACK] Seq=598 Ack=238 Win=32736 Len=0"
"R"," R", "470","08:03:15.305589","172.16.114.207","207.46.179.15","TCP","60","1024 → 80 [ACK] Seq=238 Ack=599 Win=31522 Len=0"
"R"," R", "471","08:03:15.306089","172.16.114.207","207.46.179.15","TCP","60","1024 → 80 [FIN, ACK] Seq=238 Ack=599 Win=32120 Len=0"
"R"," R", "472","08:03:15.309201","172.16.112.20","192.168.1.20","DNS","72","Standard query 0x29d3 A msid.msn.com"
"R"," R", "473","08:03:15.310923","207.46.179.15","172.16.114.207","TCP","60","80 → 1024 [ACK] Seq=599 Ack=239 Win=32735 Len=0"
"R"," R", "474","08:03:15.314787","192.168.1.20","172.16.112.20","DNS","132","Standard query response 0x29d3 A msid.msn.com A 207.46.176.50 NS aesop.world.net A 192.168.1.20"
"R"," R", "475","08:03:15.316133","172.16.114.207","207.46.176.50","TCP","60","1025 → 80 [SYN] Seq=0 Win=512 Len=0 MSS=1460"
"R"," R", "476","08:03:15.322530","207.46.176.50","172.16.114.207","TCP","60","80 → 1025 [SYN, ACK] Seq=0 Ack=1 Win=32736 Len=0 MSS=1460"
"R"," R", "477","08:03:15.322680","172.16.114.207","207.46.176.50","TCP","60","1025 → 80 [ACK] Seq=1 Ack=1 Win=32120 Len=0"
"R"," R", "478","08:03:15.323180","172.16.114.207","207.46.176.50","HTTP","343","GET /mps_id_sharing/redirect.asp?home.microsoft.com/Default.asp HTTP/1.0 "
"R"," R", "479","08:03:15.341687","207.46.176.50","172.16.114.207","TCP","60","80 → 1025 [ACK] Seq=1 Ack=290 Win=32736 Len=0"
"R"," R", "480","08:03:15.361170","207.46.176.50","172.16.114.207","HTTP","647","HTTP/1.1 302 Object moved  (text/html)"
"R"," R", "481","08:03:15.361237","207.46.176.50","172.16.114.207","TCP","60","80 → 1025 [FIN, ACK] Seq=594 Ack=290 Win=32736 Len=0"
"R"," R", "482","08:03:15.361367","172.16.114.207","207.46.176.50","TCP","60","1025 → 80 [ACK] Seq=290 Ack=595 Win=31526 Len=0"
"R"," R", "483","08:03:15.361789","172.16.114.207","207.46.176.50","TCP","60","1025 → 80 [FIN, ACK] Seq=290 Ack=595 Win=32120 Len=0"
"R"," R", "484","08:03:15.364274","172.16.114.207","207.46.179.15","TCP","60","1026 → 80 [SYN] Seq=0 Win=512 Len=0 MSS=1460"
"R"," R", "485","08:03:15.365971","207.46.176.50","172.16.114.207","TCP","60","80 → 1025 [ACK] Seq=595 Ack=291 Win=32735 Len=0"
"R"," R", "486","08:03:15.368336","207.46.179.15","172.16.114.207","TCP","60","80 → 1026 [SYN, ACK] Seq=0 Ack=1 Win=32736 Len=0 MSS=1460"
"R"," R", "487","08:03:15.368476","172.16.114.207","207.46.179.15","TCP","60","1026 → 80 [ACK] Seq=1 Ack=1 Win=32120 Len=0"
"R"," R", "488","08:03:15.368951","172.16.114.207","207.46.179.15","HTTP","343","GET /Default.asp?newguid=b487dd8bbc8211d2acbf00805fd7e96e HTTP/1.0 "
"R"," R", "489","08:03:15.391675","207.46.179.15","172.16.114.207","TCP","60","80 → 1026 [ACK] Seq=1 Ack=290 Win=32736 Len=0"
"R"," R", "490","08:03:15.405453","207.46.179.15","172.16.114.207","HTTP","522","HTTP/1.1 302 Object moved  (text/html)"
"R"," R", "491","08:03:15.405521","207.46.179.15","172.16.114.207","TCP","60","80 → 1026 [FIN, ACK] Seq=469 Ack=290 Win=32736 Len=0"
"R"," R", "492","08:03:15.405644","172.16.114.207","207.46.179.15","TCP","60","1026 → 80 [ACK] Seq=290 Ack=470 Win=31651 Len=0"
"R"," R", "493","08:03:15.406030","172.16.114.207","207.46.179.15","TCP","60","1026 → 80 [FIN, ACK] Seq=290 Ack=470 Win=32120 Len=0"
"R"," R", "494","08:03:15.408543","172.16.114.207","207.46.179.15","TCP","60","1027 → 80 [SYN] Seq=0 Win=512 Len=0 MSS=1460"
"R"," R", "495","08:03:15.410954","207.46.179.15","172.16.114.207","TCP","60","80 → 1026 [ACK] Seq=470 Ack=291 Win=32735 Len=0"
"R"," R", "496","08:03:15.413328","207.46.179.15","172.16.114.207","TCP","60","80 → 1027 [SYN, ACK] Seq=0 Ack=1 Win=32736 Len=0 MSS=1460"
"R"," R", "497","08:03:15.413469","172.16.114.207","207.46.179.15","TCP","60","1027 → 80 [ACK] Seq=1 Ack=1 Win=32120 Len=0"
"R"," R", "498","08:03:15.413949","172.16.114.207","207.46.179.15","HTTP","340","GET /Default.asp?MSID=b487dd8bbc8211d2acbf00805fd7e96e HTTP/1.0 "
"R"," R", "499","08:03:15.431663","207.46.179.15","172.16.114.207","TCP","60","80 → 1027 [ACK] Seq=1 Ack=287 Win=32736 Len=0"
"R"," R", "500","08:03:15.472257","207.46.179.15","172.16.114.207","TCP","1514","[TCP segment of a reassembled PDU]"
"R"," R", "501","08:03:15.473485","207.46.179.15","172.16.114.207","TCP","1514","[TCP segment of a reassembled PDU]"
"R"," R", "502","08:03:15.473714","172.16.114.207","207.46.179.15","TCP","60","1027 → 80 [ACK] Seq=287 Ack=2921 Win=30660 Len=0"
"R"," R", "503","08:03:15.480244","207.46.179.15","172.16.114.207","TCP","1514","[TCP segment of a reassembled PDU]"
"R"," R", "504","08:03:15.481459","207.46.179.15","172.16.114.207","TCP","1514","[TCP segment of a reassembled PDU]"
"R"," R", "505","08:03:15.482699","207.46.179.15","172.16.114.207","TCP","1514","[TCP segment of a reassembled PDU]"
"R"," R", "506","08:03:15.483671","172.16.114.207","207.46.179.15","TCP","60","1027 → 80 [ACK] Seq=287 Ack=7301 Win=32120 Len=0"
"R"," R", "507","08:03:15.490032","207.46.179.15","172.16.114.207","TCP","1514","[TCP segment of a reassembled PDU]"
"R"," R", "508","08:03:15.491263","207.46.179.15","172.16.114.207","TCP","1514","[TCP segment of a reassembled PDU]"
"R"," R", "509","08:03:15.492505","207.46.179.15","172.16.114.207","TCP","1514","[TCP segment of a reassembled PDU]"
"R"," R", "510","08:03:15.493727","207.46.179.15","172.16.114.207","TCP","1514","[TCP segment of a reassembled PDU]"
"R"," R", "511","08:03:15.493798","172.16.114.207","207.46.179.15","TCP","60","1027 → 80 [ACK] Seq=287 Ack=11681 Win=32120 Len=0"
"R"," R", "512","08:03:15.500180","207.46.179.15","172.16.114.207","TCP","1514","[TCP segment of a reassembled PDU]"
"R"," R", "513","08:03:15.501412","207.46.179.15","172.16.114.207","TCP","1514","[TCP segment of a reassembled PDU]"
"R"," R", "514","08:03:15.502669","207.46.179.15","172.16.114.207","TCP","1514","[TCP segment of a reassembled PDU]"
"R"," R", "515","08:03:15.503910","207.46.179.15","172.16.114.207","TCP","1514","[TCP segment of a reassembled PDU]"
"R"," R", "516","08:03:15.503972","172.16.114.207","207.46.179.15","TCP","60","1027 → 80 [ACK] Seq=287 Ack=17521 Win=32120 Len=0"
"R"," R", "517","08:03:15.510353","207.46.179.15","172.16.114.207","TCP","1514","[TCP segment of a reassembled PDU]"
"R"," R", "518","08:03:15.511597","207.46.179.15","172.16.114.207","TCP","1514","[TCP segment of a reassembled PDU]"
"R"," R", "519","08:03:15.512829","207.46.179.15","172.16.114.207","TCP","1514","[TCP segment of a reassembled PDU]"
"R"," R", "520","08:03:15.514059","207.46.179.15","172.16.114.207","TCP","1514","[TCP segment of a reassembled PDU]"
"R"," R", "521","08:03:15.514225","172.16.114.207","207.46.179.15","TCP","60","1027 → 80 [ACK] Seq=287 Ack=23361 Win=32120 Len=0"
"R"," R", "522","08:03:15.515476","207.46.179.15","172.16.114.207","TCP","1514","[TCP segment of a reassembled PDU]"
"R"," R", "523","08:03:15.520560","207.46.179.15","172.16.114.207","TCP","1514","[TCP segment of a reassembled PDU]"
"R"," R", "524","08:03:15.521679","207.46.179.15","172.16.114.207","HTTP","1374","HTTP/1.1 200 OK  (text/html)"
"R"," R", "525","08:03:15.521749","207.46.179.15","172.16.114.207","TCP","60","80 → 1027 [FIN, ACK] Seq=29061 Ack=287 Win=32736 Len=0"
"R"," R", "526","08:03:15.521915","172.16.114.207","207.46.179.15","TCP","60","1027 → 80 [ACK] Seq=287 Ack=29062 Win=30660 Len=0"
"R"," R", "527","08:03:15.522732","172.16.114.207","207.46.179.15","TCP","60","1027 → 80 [FIN, ACK] Seq=287 Ack=29062 Win=32120 Len=0"
"R"," R", "528","08:03:15.527037","207.46.179.15","172.16.114.207","TCP","60","80 → 1027 [ACK] Seq=29062 Ack=288 Win=32735 Len=0"
"R"," R", "529","08:03:16.431641","172.16.0.1","224.0.0.9","RIPv2","86","Response"
"R"," R", "530","08:03:19.572571","","","LOOP","60","Reply"
"R"," R", "531","08:03:22.080294","172.16.112.20","192.168.1.20","DNS","69","Standard query 0x29d4 A cnnsi.com"
"R"," R", "532","08:03:22.084787","192.168.1.20","172.16.112.20","DNS","129","Standard query response 0x29d4 A cnnsi.com A 207.25.71.141 NS aesop.world.net A 192.168.1.20"
"R"," R", "533","08:03:22.086169","172.16.114.207","207.25.71.141","TCP","60","1028 → 80 [SYN] Seq=0 Win=512 Len=0 MSS=1460"
"R"," R", "534","08:03:22.091259","207.25.71.141","172.16.114.207","TCP","60","80 → 1028 [SYN, ACK] Seq=0 Ack=1 Win=32736 Len=0 MSS=1460"
"R"," R", "535","08:03:22.091435","172.16.114.207","207.25.71.141","TCP","60","1028 → 80 [ACK] Seq=1 Ack=1 Win=32120 Len=0"
"R"," R", "536","08:03:22.091937","172.16.114.207","207.25.71.141","HTTP","282","GET / HTTP/1.0 "
"R"," R", "537","08:03:22.110018","207.25.71.141","172.16.114.207","TCP","60","80 → 1028 [ACK] Seq=1 Ack=229 Win=32736 Len=0"
"R"," R", "538","08:03:22.166621","207.25.71.141","172.16.114.207","TCP","1514","[TCP segment of a reassembled PDU]"
"R"," R", "539","08:03:22.167851","207.25.71.141","172.16.114.207","TCP","1514","[TCP segment of a reassembled PDU]"
"R"," R", "540","08:03:22.172268","172.16.114.207","207.25.71.141","TCP","60","1028 → 80 [ACK] Seq=229 Ack=2921 Win=32120 Len=0"
"R"," R", "541","08:03:22.178719","207.25.71.141","172.16.114.207","TCP","1514","[TCP segment of a reassembled PDU]"
"R"," R", "542","08:03:22.179963","207.25.71.141","172.16.114.207","TCP","1514","[TCP segment of a reassembled PDU]"
"R"," R", "543","08:03:22.181193","207.25.71.141","172.16.114.207","TCP","1514","[TCP segment of a reassembled PDU]"
"R"," R", "544","08:03:22.182278","172.16.114.207","207.25.71.141","TCP","60","1028 → 80 [ACK] Seq=229 Ack=7301 Win=32120 Len=0"
"R"," R", "545","08:03:22.188512","207.25.71.141","172.16.114.207","TCP","1514","[TCP segment of a reassembled PDU]"
"R"," R", "546","08:03:22.189742","207.25.71.141","172.16.114.207","TCP","1514","[TCP segment of a reassembled PDU]"
"R"," R", "547","08:03:22.190972","207.25.71.141","172.16.114.207","TCP","1514","[TCP segment of a reassembled PDU]"
"R"," R", "548","08:03:22.192205","207.25.71.141","172.16.114.207","TCP","1514","[TCP segment of a reassembled PDU]"
"R"," R", "549","08:03:22.192276","172.16.114.207","207.25.71.141","TCP","60","1028 → 80 [ACK] Seq=229 Ack=11681 Win=32120 Len=0"
"R"," R", "550","08:03:22.198572","207.25.71.141","172.16.114.207","TCP","1514","[TCP segment of a reassembled PDU]"
"R"," R", "551","08:03:22.199816","207.25.71.141","172.16.114.207","TCP","1514","[TCP segment of a reassembled PDU]"
"R"," R", "552","08:03:22.201037","207.25.71.141","172.16.114.207","TCP","1514","[TCP segment of a reassembled PDU]"
"R"," R", "553","08:03:22.202266","207.25.71.141","172.16.114.207","TCP","1514","[TCP segment of a reassembled PDU]"
