"netbus"," r2l", "252255","10:06:23.721914","172.16.112.100","172.16.112.10","NTP","90","NTP Version 1, client"
"netbus"," r2l", "252256","10:06:23.722340","172.16.112.10","172.16.112.100","NTP","90","NTP Version 1, server"
"netbus"," r2l", "252257","10:06:25.991723","172.16.0.1","224.0.0.9","RIPv2","86","Response"
"netbus"," r2l", "252258","10:06:30.436311","172.16.112.149","135.13.216.191","TELNET","60","Telnet Data ..."
"netbus"," r2l", "252259","10:06:30.439143","135.13.216.191","172.16.112.149","TELNET","60","Telnet Data ..."
"netbus"," r2l", "252260","10:06:30.455111","172.16.112.149","135.13.216.191","TCP","60","31025 → 23 [ACK] Seq=1116 Ack=4869 Win=32120 Len=0"
"netbus"," r2l", "252261","10:06:31.435020","172.16.112.149","135.13.216.191","TELNET","60","Telnet Data ..."
"netbus"," r2l", "252262","10:06:31.435995","135.13.216.191","172.16.112.149","TELNET","60","Telnet Data ..."
"netbus"," r2l", "252263","10:06:31.454894","172.16.112.149","135.13.216.191","TCP","60","31025 → 23 [ACK] Seq=1117 Ack=4870 Win=32120 Len=0"
"netbus"," r2l", "252264","10:06:32.205523","172.16.112.149","135.13.216.191","TELNET","60","Telnet Data ..."
"netbus"," r2l", "252265","10:06:32.206594","135.13.216.191","172.16.112.149","TELNET","60","Telnet Data ..."
"netbus"," r2l", "252266","10:06:32.224780","172.16.112.149","135.13.216.191","TCP","60","31025 → 23 [ACK] Seq=1118 Ack=4871 Win=32120 Len=0"
"netbus"," r2l", "252267","10:06:32.685092","172.16.112.149","135.13.216.191","TELNET","60","Telnet Data ..."
"netbus"," r2l", "252268","10:06:32.686137","135.13.216.191","172.16.112.149","TELNET","60","Telnet Data ..."
"netbus"," r2l", "252269","10:06:32.704649","172.16.112.149","135.13.216.191","TCP","60","31025 → 23 [ACK] Seq=1119 Ack=4872 Win=32120 Len=0"
"netbus"," r2l", "252270","10:06:32.755369","195.73.151.50","172.16.112.50","TELNET","60","Telnet Data ..."
"netbus"," r2l", "252271","10:06:32.755916","172.16.112.50","195.73.151.50","TELNET","60","Telnet Data ..."
"netbus"," r2l", "252272","10:06:32.774317","195.73.151.50","172.16.112.50","TCP","60","12381 → 23 [ACK] Seq=82 Ack=1302 Win=32120 Len=0"
"netbus"," r2l", "252273","10:06:32.814470","195.73.151.50","172.16.112.50","TELNET","60","Telnet Data ..."
"netbus"," r2l", "252274","10:06:32.814791","172.16.112.50","195.73.151.50","TELNET","60","Telnet Data ..."
"netbus"," r2l", "252275","10:06:32.834300","195.73.151.50","172.16.112.50","TCP","60","12381 → 23 [ACK] Seq=83 Ack=1303 Win=32120 Len=0"
"netbus"," r2l", "252276","10:06:32.874593","195.73.151.50","172.16.112.50","TELNET","60","Telnet Data ..."
"netbus"," r2l", "252277","10:06:32.874910","172.16.112.50","195.73.151.50","TELNET","60","Telnet Data ..."
"netbus"," r2l", "252278","10:06:32.894285","195.73.151.50","172.16.112.50","TCP","60","12381 → 23 [ACK] Seq=84 Ack=1304 Win=32120 Len=0"
"netbus"," r2l", "252279","10:06:32.954637","195.73.151.50","172.16.112.50","TELNET","60","Telnet Data ..."
"netbus"," r2l", "252280","10:06:32.954949","172.16.112.50","195.73.151.50","TELNET","60","Telnet Data ..."
"netbus"," r2l", "252281","10:06:32.974271","195.73.151.50","172.16.112.50","TCP","60","12381 → 23 [ACK] Seq=85 Ack=1305 Win=32120 Len=0"
"netbus"," r2l", "252282","10:06:33.014386","195.73.151.50","172.16.112.50","TELNET","60","Telnet Data ..."
"netbus"," r2l", "252283","10:06:33.014702","172.16.112.50","195.73.151.50","TELNET","60","Telnet Data ..."
"netbus"," r2l", "252284","10:06:33.034263","195.73.151.50","172.16.112.50","TCP","60","12381 → 23 [ACK] Seq=86 Ack=1306 Win=32120 Len=0"
"netbus"," r2l", "252285","10:06:33.084403","195.73.151.50","172.16.112.50","TELNET","60","Telnet Data ..."
"netbus"," r2l", "252286","10:06:33.084714","172.16.112.50","195.73.151.50","TELNET","60","Telnet Data ..."
"netbus"," r2l", "252287","10:06:33.104254","195.73.151.50","172.16.112.50","TCP","60","12381 → 23 [ACK] Seq=87 Ack=1307 Win=32120 Len=0"
"netbus"," r2l", "252288","10:06:33.144440","195.73.151.50","172.16.112.50","TELNET","60","Telnet Data ..."
"netbus"," r2l", "252289","10:06:33.144757","172.16.112.50","195.73.151.50","TELNET","60","Telnet Data ..."
"netbus"," r2l", "252290","10:06:33.164224","195.73.151.50","172.16.112.50","TCP","60","12381 → 23 [ACK] Seq=88 Ack=1308 Win=32120 Len=0"
"netbus"," r2l", "252291","10:06:33.214317","195.73.151.50","172.16.112.50","TELNET","60","Telnet Data ..."
