MeanPacketSize60,SYNBoolean60
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
106.9922481,4
109.5645161,3
109.5645161,3
109.5645161,3
109.376,3
118.8652482,4
226.475,5
226.475,5
226.475,5
225.8955224,5
227.2613065,5
227.3819095,5
226.795,5
228.1767677,5
228.1767677,5
228.1767677,5
226.795,5
226.795,5
225.4405941,5
209.6969697,6
209.6969697,6
205.2941176,6
205.2941176,6
206.1481481,6
206.5830258,6
206.5830258,6
206.5830258,6
205.7289377,6
205.7289377,6
205.7289377,6
205.7289377,6
205.7289377,6
205.7289377,6
205.7289377,6
195.2483221,6
181.6085714,7
175.3468835,7
153.6035242,6
135.2913907,6
129.3891102,6
125.3681869,6
122.6621881,6
120.4815436,6
130.6337509,7
130.4779412,7
129.6266376,7
128.9569275,7
128.9304161,7
128.6683274,7
129.3688982,8
128.8858921,9
128.8858921,9
128.8858921,9
128.5703603,10
128.5703603,10
128.5703603,10
128.3178138,10
127.6957672,11
127.4563362,11
127.4891519,11
127.6252518,10
127.4713506,10
128.2508295,11
129.2698309,12
130.3806782,13
130.8288804,13
118.2628866,13
119.4632911,14
121.3584559,15
121.6079952,16
121.1327897,17
121.2602188,17
121.2667051,17
121.2667051,17
121.273878,17
121.273878,17
121.3099078,17
121.3099078,17
121.3099078,17
119.6764533,17
119.6416422,17
119.9228049,17
119.8736038,17
119.8736038,17
119.7535294,17
119.7535294,17
119.7535294,17
119.7885748,17
119.7885748,17
119.7885748,17
119.7885748,17
119.7535294,17
119.7336861,17
119.7336861,17
120.4778443,17
121.3833132,17
122.6130774,18
127.0872818,19
132.5351827,20
135.6076807,20
139.8305785,21
144.5768881,22
151.3539095,22
140.5947955,21
140.8101737,21
142.2105927,21
143.2599502,22
143.2789855,23
143.9253555,23
143.2355828,22
143.5030826,22
142.1731235,22
140.7110583,22
140.1020408,21
138.5,21
137.2314815,21
136.8101266,21
138.0487515,20
128.2145791,21
128.2145791,21
126.4880153,22
125.6968284,22
123.5621415,21
121.8748768,20
119.9686552,19
117.9284232,18
115.9643243,17
113.7781494,16
109.7680473,15
110.1046931,15
110.5405063,14
111.8615196,15
111.8592411,15
111.8592411,15
111.8745387,15
141.9918605,16
141.9918605,16
141.9918605,16
142.1130536,16
143.242497,15
143.3706378,15
143.3706378,15
143.3574007,15
142.1203271,16
141.2135593,17
141.2135593,17
141.0980834,17
141.0980834,17
141.0269966,17
141.0269966,17
140.8789238,17
139.8654267,18
139.924425,18
139.8698031,18
138.9690832,18
