SYNBoolean60,SYNCount60
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
4,5
3,4
3,4
3,4
3,4
4,5
5,8
5,8
5,8
5,8
5,8
5,8
5,8
5,8
5,8
5,8
5,8
5,8
5,8
6,10
6,10
6,10
6,10
6,10
6,10
6,10
6,10
6,10
6,10
6,10
6,10
6,10
6,10
6,10
6,10
7,11
7,11
6,10
6,10
6,10
6,10
6,10
6,10
7,11
7,11
7,11
7,11
7,11
7,11
8,12
9,13
9,13
9,13
10,14
10,14
10,14
10,14
11,15
11,15
11,15
10,13
10,13
11,15
12,16
13,17
13,17
13,15
14,16
15,18
16,19
17,21
17,21
17,21
17,21
17,21
17,21
17,21
17,21
17,21
17,20
17,20
17,20
17,20
17,20
17,20
17,20
17,20
17,20
17,20
17,20
17,20
17,20
17,20
17,20
17,20
17,21
18,22
19,24
20,25
20,25
21,26
22,27
22,27
21,26
21,26
21,26
22,28
23,29
23,29
22,28
22,28
22,28
22,28
21,27
21,27
21,27
21,27
20,26
21,27
21,27
22,29
22,29
21,27
20,26
19,25
18,24
17,23
16,22
15,20
15,21
14,19
15,20
15,20
15,20
15,20
16,21
16,21
16,21
16,21
15,20
15,20
15,20
15,20
16,21
17,22
17,22
17,22
17,22
17,22
17,22
17,22
18,23
18,23
18,23
18,23
17,21
16,20
15,18
14,17
14,17
13,16
12,15
12,15
12,15
12,15
12,15
11,13
10,12
10,12
10,12
10,12
10,12
10,12
11,13
12,14
12,14
13,16
14,17
13,16
13,16
12,14
12,14
12,14
12,14
12,14
12,14
12,14
12,14
12,14
11,12
11,12
10,11
10,11
10,11
10,11
10,11
10,11
11,12
11,12
11,12
11,12
12,13
12,13
11,12
11,13
11,13
11,13
11,13
11,13
11,13
11,13
10,12
10,12
10,12
9,11
9,11
9,11
9,11
9,11
9,11
9,11
9,11
10,12
10,12
10,12
10,12
10,12
10,12
10,12
10,12
10,12
10,12
10,12
9,11
8,10
8,10
7,8
7,8
7,8
7,8
7,8
7,8
7,8
7,8
7,8
7,8
7,8
7,8
8,9
8,9
8,9
8,9
8,9
8,9
8,9
7,8
7,8
6,7
6,7
6,7
6,7
5,6
6,7
6,7
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
3,3
3,3
3,3
3,3
3,3
3,3
4,4
3,3
3,3
3,3
4,5
4,5
4,5
4,5
4,5
4,5
