SYNCount32,SYNCount60
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
1,-1
0,-1
1,-1
1,-1
1,-1
2,-1
2,-1
2,-1
2,-1
2,-1
2,-1
2,-1
2,-1
2,-1
2,-1
2,-1
2,-1
2,-1
2,-1
2,-1
2,-1
2,-1
2,-1
2,-1
2,-1
2,-1
2,-1
2,-1
4,5
4,4
4,4
4,4
4,4
5,5
7,8
7,8
7,8
6,8
6,8
6,8
6,8
6,8
6,8
6,8
6,8
6,8
6,8
8,10
8,10
8,10
8,10
8,10
8,10
8,10
8,10
8,10
8,10
8,10
8,10
8,10
6,10
6,10
7,10
8,11
8,11
7,10
4,10
4,10
4,10
4,10
4,10
5,11
5,11
5,11
5,11
5,11
5,11
6,12
7,13
5,13
5,13
6,14
6,14
6,14
6,14
7,15
7,15
7,15
7,13
7,13
9,15
10,16
11,17
12,17
12,15
12,16
14,18
15,19
17,21
17,21
17,21
17,21
17,21
16,21
16,21
16,21
16,21
17,20
17,20
16,20
15,20
15,20
15,20
14,20
14,20
14,20
14,20
13,20
13,20
13,20
13,20
13,20
12,20
13,21
13,22
14,24
14,25
13,25
12,26
12,27
10,27
10,26
10,26
10,26
12,28
13,29
13,29
13,28
14,28
13,28
13,28
13,27
13,27
13,27
13,27
13,26
14,27
14,27
16,29
16,29
16,27
16,26
16,25
16,24
15,23
13,22
12,20
12,21
11,19
12,20
11,20
10,20
10,20
11,21
11,21
11,21
9,21
8,20
8,20
8,20
7,20
8,21
9,22
9,22
9,22
9,22
9,22
9,22
8,22
9,23
7,23
7,23
8,23
8,21
8,20
8,18
8,17
8,17
8,16
6,15
6,15
5,15
5,15
5,15
5,13
4,12
4,12
4,12
5,12
5,12
5,12
6,13
7,14
6,14
7,16
8,17
8,16
8,16
8,14
8,14
8,14
7,14
7,14
7,14
6,14
6,14
6,14
6,12
6,12
6,11
6,11
6,11
6,11
7,11
7,11
8,12
8,12
8,12
8,12
9,13
8,13
8,12
10,13
9,13
8,13
8,13
6,13
5,13
5,13
5,12
5,12
5,12
5,11
5,11
5,11
5,11
5,11
5,11
5,11
5,11
6,12
6,12
6,12
6,12
6,12
5,12
5,12
4,12
5,12
5,12
5,12
4,11
4,10
4,10
2,8
3,8
3,8
3,8
3,8
3,8
3,8
3,8
3,8
3,8
3,8
3,8
4,9
4,9
4,9
4,9
4,9
4,9
3,9
3,8
3,8
3,7
3,7
3,7
3,7
3,6
3,7
3,7
3,5
3,5
3,5
3,5
3,5
2,5
2,5
2,5
2,5
2,5
2,5
2,5
2,5
2,5
2,5
2,5
1,5
1,5
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,3
1,3
1,3
1,3
0,3
0,3
1,4
1,3
1,3
1,3
3,5
3,5
3,5
3,5
3,5
3,5
4,6
4,6
5,6
5,6
5,6
5,6
6,7
