"R"," R", "10340","08:12:32.784033","172.16.112.10","172.16.114.50","NTP","90","NTP Version 3, server"
"R"," R", "10341","08:12:34.833682","172.16.112.20","172.16.255.255","RIPv1","66","Response"
"R"," R", "10342","08:12:34.833887","172.16.112.20","172.16.118.255","RIPv1","66","Response"
"R"," R", "10343","08:12:35.387826","172.16.113.204","209.67.29.11","TCP","60","4166 → 80 [SYN] Seq=0 Win=512 Len=0 MSS=1460"
"R"," R", "10344","08:12:35.393143","209.67.29.11","172.16.113.204","TCP","60","80 → 4166 [SYN, ACK] Seq=0 Ack=1 Win=32736 Len=0 MSS=1460"
"R"," R", "10345","08:12:35.393324","172.16.113.204","209.67.29.11","TCP","60","4166 → 80 [ACK] Seq=1 Ack=1 Win=32120 Len=0"
"R"," R", "10346","08:12:35.393839","172.16.113.204","209.67.29.11","HTTP","313","GET /leadpage/credit/credit.htm HTTP/1.0 "
"R"," R", "10347","08:12:35.409644","209.67.29.11","172.16.113.204","TCP","60","80 → 4166 [ACK] Seq=1 Ack=260 Win=32736 Len=0"
"R"," R", "10348","08:12:35.468882","209.67.29.11","172.16.113.204","TCP","1514","[TCP segment of a reassembled PDU]"
"R"," R", "10349","08:12:35.470112","209.67.29.11","172.16.113.204","TCP","1514","[TCP segment of a reassembled PDU]"
"R"," R", "10350","08:12:35.472728","172.16.113.204","209.67.29.11","TCP","60","4166 → 80 [ACK] Seq=260 Ack=2921 Win=32120 Len=0"
"R"," R", "10351","08:12:35.478560","209.67.29.11","172.16.113.204","TCP","1121","[TCP segment of a reassembled PDU]"
"R"," R", "10352","08:12:35.478629","209.67.29.11","172.16.113.204","HTTP","60","HTTP/1.1 200 OK  (text/html)"
"R"," R", "10353","08:12:35.478774","172.16.113.204","209.67.29.11","TCP","60","4166 → 80 [ACK] Seq=260 Ack=3989 Win=31052 Len=0"
"R"," R", "10354","08:12:35.479224","172.16.113.204","209.67.29.11","TCP","60","4166 → 80 [FIN, ACK] Seq=260 Ack=3989 Win=32120 Len=0"
"R"," R", "10355","08:12:35.483822","209.67.29.11","172.16.113.204","TCP","60","80 → 4166 [ACK] Seq=3989 Ack=261 Win=32735 Len=0"
"R"," R", "10356","08:12:35.489101","172.16.113.204","209.67.29.11","TCP","60","4167 → 80 [SYN] Seq=0 Win=512 Len=0 MSS=1460"
"R"," R", "10357","08:12:35.494209","209.67.29.11","172.16.113.204","TCP","60","80 → 4167 [SYN, ACK] Seq=0 Ack=1 Win=32736 Len=0 MSS=1460"
"R"," R", "10358","08:12:35.494366","172.16.113.204","209.67.29.11","TCP","60","4167 → 80 [ACK] Seq=1 Ack=1 Win=32120 Len=0"
"R"," R", "10359","08:12:35.494881","172.16.113.204","209.67.29.11","HTTP","373","GET /leadpage/credit/print.gif HTTP/1.0 "
"R"," R", "10360","08:12:35.509616","209.67.29.11","172.16.113.204","TCP","60","80 → 4167 [ACK] Seq=1 Ack=320 Win=32736 Len=0"
"R"," R", "10361","08:12:35.521983","209.67.29.11","172.16.113.204","TCP","1078","[TCP segment of a reassembled PDU]"
"R"," R", "10362","08:12:35.522545","209.67.29.11","172.16.113.204","HTTP","680","HTTP/1.1 200 OK  (GIF87a)"
"R"," R", "10363","08:12:35.522614","209.67.29.11","172.16.113.204","TCP","60","80 → 4167 [FIN, ACK] Seq=1651 Ack=320 Win=32736 Len=0"
"R"," R", "10364","08:12:35.522761","172.16.113.204","209.67.29.11","TCP","60","4167 → 80 [ACK] Seq=320 Ack=1652 Win=30660 Len=0"
"R"," R", "10365","08:12:35.523149","172.16.113.204","209.67.29.11","TCP","60","4167 → 80 [FIN, ACK] Seq=320 Ack=1652 Win=32120 Len=0"
"R"," R", "10366","08:12:35.525619","172.16.113.204","209.67.29.11","TCP","60","4168 → 80 [SYN] Seq=0 Win=512 Len=0 MSS=1460"
"R"," R", "10367","08:12:35.528050","209.67.29.11","172.16.113.204","TCP","60","80 → 4167 [ACK] Seq=1652 Ack=321 Win=32735 Len=0"
"R"," R", "10368","08:12:35.530282","209.67.29.11","172.16.113.204","TCP","60","80 → 4168 [SYN, ACK] Seq=0 Ack=1 Win=32736 Len=0 MSS=1460"
"R"," R", "10369","08:12:35.530423","172.16.113.204","209.67.29.11","TCP","60","4168 → 80 [ACK] Seq=1 Ack=1 Win=32120 Len=0"
"R"," R", "10370","08:12:35.530917","172.16.113.204","209.67.29.11","HTTP","374","GET /leadpage/credit/online.jpg HTTP/1.0 "
"R"," R", "10371","08:12:35.549646","209.67.29.11","172.16.113.204","TCP","60","80 → 4168 [ACK] Seq=1 Ack=321 Win=32736 Len=0"
"R"," R", "10372","08:12:35.557469","209.67.29.11","172.16.113.204","TCP","1514","[TCP segment of a reassembled PDU]"
"R"," R", "10373","08:12:35.558697","209.67.29.11","172.16.113.204","TCP","1514","[TCP segment of a reassembled PDU]"
"R"," R", "10374","08:12:35.562708","172.16.113.204","209.67.29.11","TCP","60","4168 → 80 [ACK] Seq=321 Ack=2921 Win=32120 Len=0"
"R"," R", "10375","08:12:35.569314","209.67.29.11","172.16.113.204","TCP","1514","[TCP segment of a reassembled PDU]"
"R"," R", "10376","08:12:35.569940","209.67.29.11","172.16.113.204","HTTP","761","HTTP/1.1 200 OK  (JPEG JFIF image)"
"R"," R", "10377","08:12:35.570011","209.67.29.11","172.16.113.204","TCP","60","80 → 4168 [FIN, ACK] Seq=5088 Ack=321 Win=32736 Len=0"
"R"," R", "10378","08:12:35.570150","172.16.113.204","209.67.29.11","TCP","60","4168 → 80 [ACK] Seq=321 Ack=5089 Win=30660 Len=0"
"R"," R", "10379","08:12:35.570549","172.16.113.204","209.67.29.11","TCP","60","4168 → 80 [FIN, ACK] Seq=321 Ack=5089 Win=32120 Len=0"
"R"," R", "10380","08:12:35.573082","172.16.113.204","209.67.29.11","TCP","60","4169 → 80 [SYN] Seq=0 Win=512 Len=0 MSS=1460"
"R"," R", "10381","08:12:35.575186","209.67.29.11","172.16.113.204","TCP","60","80 → 4168 [ACK] Seq=5089 Ack=322 Win=32735 Len=0"
"R"," R", "10382","08:12:35.577464","209.67.29.11","172.16.113.204","TCP","60","80 → 4169 [SYN, ACK] Seq=0 Ack=1 Win=32736 Len=0 MSS=1460"
"R"," R", "10383","08:12:35.577605","172.16.113.204","209.67.29.11","TCP","60","4169 → 80 [ACK] Seq=1 Ack=1 Win=32120 Len=0"
"R"," R", "10384","08:12:35.578108","172.16.113.204","209.67.29.11","HTTP","371","GET /leadpage/credit/bbw.gif HTTP/1.0 "
"R"," R", "10385","08:12:35.599601","209.67.29.11","172.16.113.204","TCP","60","80 → 4169 [ACK] Seq=1 Ack=318 Win=32736 Len=0"
"R"," R", "10386","08:12:35.608499","209.67.29.11","172.16.113.204","TCP","1078","[TCP segment of a reassembled PDU]"
"R"," R", "10387","08:12:35.609042","209.67.29.11","172.16.113.204","HTTP","637","HTTP/1.1 200 OK  (GIF87a)"
"R"," R", "10388","08:12:35.609100","209.67.29.11","172.16.113.204","TCP","60","80 → 4169 [FIN, ACK] Seq=1608 Ack=318 Win=32736 Len=0"
"R"," R", "10389","08:12:35.609238","172.16.113.204","209.67.29.11","TCP","60","4169 → 80 [ACK] Seq=318 Ack=1609 Win=30660 Len=0"
"R"," R", "10390","08:12:35.609586","172.16.113.204","209.67.29.11","TCP","60","4169 → 80 [FIN, ACK] Seq=318 Ack=1609 Win=32120 Len=0"
"R"," R", "10391","08:12:35.612157","172.16.113.204","209.67.29.11","TCP","60","4170 → 80 [SYN] Seq=0 Win=512 Len=0 MSS=1460"
"R"," R", "10392","08:12:35.614442","209.67.29.11","172.16.113.204","TCP","60","80 → 4169 [ACK] Seq=1609 Ack=319 Win=32735 Len=0"
"R"," R", "10393","08:12:35.616703","209.67.29.11","172.16.113.204","TCP","60","80 → 4170 [SYN, ACK] Seq=0 Ack=1 Win=32736 Len=0 MSS=1460"
"R"," R", "10394","08:12:35.616867","172.16.113.204","209.67.29.11","TCP","60","4170 → 80 [ACK] Seq=1 Ack=1 Win=32120 Len=0"
"R"," R", "10395","08:12:35.617347","172.16.113.204","209.67.29.11","HTTP","375","GET /leadpage/credit/credrib.gif HTTP/1.0 "
"R"," R", "10396","08:12:35.636540","209.67.29.11","172.16.113.204","TCP","1514","[TCP segment of a reassembled PDU]"
"R"," R", "10397","08:12:35.637783","209.67.29.11","172.16.113.204","TCP","1514","[TCP segment of a reassembled PDU]"
"R"," R", "10398","08:12:35.642698","172.16.113.204","209.67.29.11","TCP","60","4170 → 80 [ACK] Seq=322 Ack=2921 Win=32120 Len=0"
"R"," R", "10399","08:12:35.648214","209.67.29.11","172.16.113.204","HTTP","945","HTTP/1.1 200 OK  (GIF87a)"
"R"," R", "10400","08:12:35.648282","209.67.29.11","172.16.113.204","TCP","60","80 → 4170 [FIN, ACK] Seq=3812 Ack=322 Win=32736 Len=0"
"R"," R", "10401","08:12:35.648420","172.16.113.204","209.67.29.11","TCP","60","4170 → 80 [ACK] Seq=322 Ack=3813 Win=31228 Len=0"
"R"," R", "10402","08:12:35.648862","172.16.113.204","209.67.29.11","TCP","60","4170 → 80 [FIN, ACK] Seq=322 Ack=3813 Win=32120 Len=0"
"R"," R", "10403","08:12:35.653437","209.67.29.11","172.16.113.204","TCP","60","80 → 4170 [ACK] Seq=3813 Ack=323 Win=32735 Len=0"
"R"," R", "10404","08:12:35.793235","172.16.112.20","172.16.112.10","NTP","90","NTP Version 3, client"
"R"," R", "10405","08:12:35.793693","","","ARP","42","Who has 172.16.112.20? Tell 172.16.112.10"
"R"," R", "10406","08:12:35.794059","","","ARP","60","172.16.112.20 is at 00:c0:4f:a3:57:db"
"R"," R", "10407","08:12:35.794115","172.16.112.10","172.16.112.20","NTP","90","NTP Version 3, server"
"R"," R", "10408","08:12:36.375129","196.37.75.158","172.16.112.50","TELNET","60","Telnet Data ..."
"R"," R", "10409","08:12:36.375594","172.16.112.50","196.37.75.158","TELNET","60","Telnet Data ..."
"R"," R", "10410","08:12:36.393999","196.37.75.158","172.16.112.50","TCP","60","1473 → 23 [ACK] Seq=80 Ack=1296 Win=32120 Len=0"
"R"," R", "10411","08:12:36.494083","196.37.75.158","172.16.112.50","TELNET","60","Telnet Data ..."
"R"," R", "10412","08:12:36.494396","172.16.112.50","196.37.75.158","TELNET","60","Telnet Data ..."
"R"," R", "10413","08:12:36.513968","196.37.75.158","172.16.112.50","TCP","60","1473 → 23 [ACK] Seq=81 Ack=1297 Win=32120 Len=0"
"R"," R", "10414","08:12:36.614085","196.37.75.158","172.16.112.50","TELNET","60","Telnet Data ..."
