"netcat"," r2l", "98033","09:23:33.936996","172.16.112.20","172.16.118.255","RIPv1","66","Response"
"netcat"," r2l", "98034","09:23:37.795883","","","LOOP","60","Reply"
"netcat"," r2l", "98035","09:23:39.391545","197.218.177.69","172.16.114.148","TELNET","60","Telnet Data ..."
"netcat"," r2l", "98036","09:23:39.391973","172.16.114.148","197.218.177.69","TELNET","60","Telnet Data ..."
"netcat"," r2l", "98037","09:23:39.410882","197.218.177.69","172.16.114.148","TCP","60","3334 → 23 [ACK] Seq=4086 Ack=21643 Win=32120 Len=0"
"netcat"," r2l", "98038","09:23:39.411036","172.16.114.148","197.218.177.69","TELNET","60","Telnet Data ..."
"netcat"," r2l", "98039","09:23:39.430874","197.218.177.69","172.16.114.148","TCP","60","3334 → 23 [ACK] Seq=4086 Ack=21645 Win=32120 Len=0"
"netcat"," r2l", "98040","09:23:43.039647","172.16.113.204","208.209.46.36","TCP","60","9770 → 80 [SYN] Seq=0 Win=512 Len=0 MSS=1460"
"netcat"," r2l", "98041","09:23:43.044140","208.209.46.36","172.16.113.204","TCP","60","80 → 9770 [SYN, ACK] Seq=0 Ack=1 Win=32736 Len=0 MSS=1460"
"netcat"," r2l", "98042","09:23:43.044381","172.16.113.204","208.209.46.36","TCP","60","9770 → 80 [ACK] Seq=1 Ack=1 Win=32120 Len=0"
"netcat"," r2l", "98043","09:23:43.045031","172.16.113.204","208.209.46.36","HTTP","309","GET /aboutgw/ir/side_ir.html HTTP/1.0 "
"netcat"," r2l", "98044","09:23:43.061220","208.209.46.36","172.16.113.204","TCP","60","80 → 9770 [ACK] Seq=1 Ack=256 Win=32736 Len=0"
"netcat"," r2l", "98045","09:23:43.066076","208.209.46.36","172.16.113.204","TCP","1514","[TCP segment of a reassembled PDU]"
"netcat"," r2l", "98046","09:23:43.067307","208.209.46.36","172.16.113.204","TCP","1514","[TCP segment of a reassembled PDU]"
"netcat"," r2l", "98047","09:23:43.074172","172.16.113.204","208.209.46.36","TCP","60","9770 → 80 [ACK] Seq=256 Ack=2921 Win=32120 Len=0"
"netcat"," r2l", "98048","09:23:43.080272","208.209.46.36","172.16.113.204","TCP","1514","[TCP segment of a reassembled PDU]"
