"R"," R", "20979","08:38:48.760410","172.16.113.50","172.16.112.10","NTP","90","NTP Version 3, client"
"R"," R", "20980","08:38:48.760900","172.16.112.10","172.16.113.50","NTP","90","NTP Version 3, server"
"R"," R", "20981","08:38:49.832576","172.16.113.84","197.218.177.69","TCP","60","13249 → 21 [SYN] Seq=0 Win=512 Len=0 MSS=1460"
"R"," R", "20982","08:38:49.835428","197.218.177.69","172.16.113.84","TCP","60","21 → 13249 [SYN, ACK] Seq=0 Ack=1 Win=32736 Len=0 MSS=1460"
"R"," R", "20983","08:38:49.835614","172.16.113.84","197.218.177.69","TCP","60","13249 → 21 [ACK] Seq=1 Ack=1 Win=32120 Len=0"
"R"," R", "20984","08:38:49.870042","197.218.177.69","172.16.113.84","FTP","150","Response: 220 calvin FTP server (Version wu-2.4.2-academ[BETA-15](1) Sat Nov 1 03:08:32 EST 1997) ready."
"R"," R", "20985","08:38:49.884117","172.16.113.84","197.218.177.69","TCP","60","13249 → 21 [ACK] Seq=1 Ack=97 Win=32120 Len=0"
"R"," R", "20986","08:38:50.184927","172.16.113.84","197.218.177.69","FTP","70","Request: USER anonymous"
"R"," R", "20987","08:38:50.187315","197.218.177.69","172.16.113.84","FTP","122","Response: 331 Guest login ok, send your complete e-mail address as password."
"R"," R", "20988","08:38:50.204035","172.16.113.84","197.218.177.69","TCP","60","13249 → 21 [ACK] Seq=17 Ack=165 Win=32120 Len=0"
"R"," R", "20989","08:38:50.814702","172.16.113.84","197.218.177.69","FTP","87","Request: PASS waltraus@duck.eyrie.af.mil"
"R"," R", "20990","08:38:50.821040","197.218.177.69","172.16.113.84","FTP","102","Response: 230 Guest login ok, access restrictions apply."
"R"," R", "20991","08:38:50.821502","172.16.113.84","197.218.177.69","FTP","60","Request: SYST"
"R"," R", "20992","08:38:50.822348","197.218.177.69","172.16.113.84","FTP","73","Response: 215 UNIX Type: L8"
"R"," R", "20993","08:38:50.833920","172.16.113.84","197.218.177.69","TCP","60","13249 → 21 [ACK] Seq=56 Ack=232 Win=32120 Len=0"
"R"," R", "20994","08:38:51.835266","172.16.113.84","197.218.177.69","FTP","80","Request: PORT 172,16,113,84,52,15"
"R"," R", "20995","08:38:51.836304","197.218.177.69","172.16.113.84","FTP","84","Response: 200 PORT command successful."
"R"," R", "20996","08:38:51.836825","172.16.113.84","197.218.177.69","FTP","60","Request: LIST"
"R"," R", "20997","08:38:51.840651","197.218.177.69","172.16.113.84","TCP","60","20 → 13327 [SYN] Seq=0 Win=512 Len=0 MSS=1460"
"R"," R", "20998","08:38:51.840938","172.16.113.84","197.218.177.69","TCP","60","13327 → 20 [SYN, ACK] Seq=0 Ack=1 Win=32736 Len=0 MSS=1460"
"R"," R", "20999","08:38:51.841683","197.218.177.69","172.16.113.84","TCP","60","20 → 13327 [ACK] Seq=1 Ack=1 Win=32120 Len=0"
"R"," R", "21000","08:38:51.847861","197.218.177.69","172.16.113.84","TCP","60","21 → 13249 [ACK] Seq=262 Ack=88 Win=32736 Len=0"
"R"," R", "21001","08:38:51.849906","197.218.177.69","172.16.113.84","FTP","107","Response: 150 Opening ASCII mode data connection for /bin/ls."
"R"," R", "21002","08:38:51.851966","197.218.177.69","172.16.113.84","FTP-DATA","1078","FTP Data: 1024 bytes"
"R"," R", "21003","08:38:51.852111","197.218.177.69","172.16.113.84","FTP-DATA","158","FTP Data: 104 bytes"
"R"," R", "21004","08:38:51.852180","197.218.177.69","172.16.113.84","TCP","60","20 → 13327 [FIN, ACK] Seq=1129 Ack=1 Win=32120 Len=0"
