"R"," R", "613398","13:39:20.039942","172.16.112.10","172.16.114.50","NTP","90","NTP Version 3, server"
"R"," R", "613399","13:39:20.361684","197.218.177.69","172.16.112.50","TELNET","119","Telnet Data ..."
"R"," R", "613400","13:39:20.362236","172.16.112.50","197.218.177.69","TELNET","60","Telnet Data ..."
"R"," R", "613401","13:39:20.376702","197.218.177.69","172.16.112.50","TCP","60","28706 → 23 [ACK] Seq=623 Ack=6122 Win=32120 Len=0"
"R"," R", "613402","13:39:20.377195","172.16.112.50","197.218.177.69","TELNET","122","Telnet Data ..."
"R"," R", "613403","13:39:20.396706","197.218.177.69","172.16.112.50","TCP","60","28706 → 23 [ACK] Seq=623 Ack=6190 Win=32120 Len=0"
"R"," R", "613404","13:39:20.397981","172.16.112.50","197.218.177.69","TELNET","1294","Telnet Data ..."
"R"," R", "613405","13:39:20.416692","197.218.177.69","172.16.112.50","TCP","60","28706 → 23 [ACK] Seq=623 Ack=7430 Win=32120 Len=0"
"R"," R", "613406","13:39:20.824695","172.16.114.168","172.16.112.100","TCP","60","10804 → 25 [SYN] Seq=0 Win=512 Len=0 MSS=1460"
"R"," R", "613407","13:39:20.824857","172.16.112.100","172.16.114.168","TCP","60","25 → 10804 [SYN, ACK] Seq=0 Ack=1 Win=8760 Len=0 MSS=1460"
"R"," R", "613408","13:39:20.825046","172.16.114.168","172.16.112.100","TCP","60","10804 → 25 [ACK] Seq=1 Ack=1 Win=32120 Len=0"
"R"," R", "613409","13:39:20.828910","172.16.112.100","172.16.112.20","DNS","87","Standard query 0x00bb PTR 168.114.16.172.in-addr.arpa"
"R"," R", "613410","13:39:20.829716","172.16.112.20","172.16.112.100","DNS","175","Standard query response 0x00bb PTR 168.114.16.172.in-addr.arpa PTR finch.eyrie.af.mil NS hobbes.eyrie.af.mil A 172.16.112.20"
"R"," R", "613411","13:39:20.830758","172.16.112.100","172.16.114.168","SMTP","86","S: 220 SMTP Server for hume ready"
"R"," R", "613412","13:39:20.841432","172.16.114.168","172.16.112.100","TCP","60","10804 → 25 [ACK] Seq=1 Ack=33 Win=32120 Len=0"
"R"," R", "613413","13:39:21.075657","172.16.114.168","172.16.112.100","SMTP","79","C: EHLO finch.eyrie.af.mil"
"R"," R", "613414","13:39:21.076443","172.16.112.100","172.16.114.168","SMTP","60","S: 500 "
"R"," R", "613415","13:39:21.091348","172.16.114.168","172.16.112.100","TCP","60","10804 → 25 [ACK] Seq=26 Ack=39 Win=32120 Len=0"
"R"," R", "613416","13:39:21.321506","172.16.114.168","172.16.112.100","SMTP","79","C: HELO finch.eyrie.af.mil"
"R"," R", "613417","13:39:21.322317","172.16.112.100","172.16.114.168","SMTP","63","S: 250 OK "
"R"," R", "613418","13:39:21.331912","172.16.114.168","172.16.112.100","SMTP","93","C: MAIL From:<larrym@finch.eyrie.af.mil>"
"R"," R", "613419","13:39:21.333372","172.16.112.100","172.16.114.168","SMTP","98","S: 250 OK Mail from larrym@finch.eyrie.af.mil"
"R"," R", "613420","13:39:21.333803","172.16.114.168","172.16.112.100","SMTP","91","C: RCPT To:<yvonnej@hume.eyrie.af.mil>"
"R"," R", "613421","13:39:21.335239","172.16.112.100","172.16.114.168","SMTP","81","S: 250 OK Receipt to yvonnej"
"R"," R", "613422","13:39:21.336062","172.16.114.168","172.16.112.100","SMTP","60","C: DATA"
"R"," R", "613423","13:39:21.339167","172.16.112.100","172.16.114.168","SMTP","94","S: 354 Enter mail, end with <CRLF>.<CRLF>"
"R"," R", "613424","13:39:21.340257","172.16.114.168","172.16.112.100","IMF","654","subject: Or Rockwell, ,             Or Rockwell Re.  It even a sane state of  ,             Unix.  The one can I by a name directory no run;  ,             will start End dup if we expect lots more  ,             Experiments; The user space of The with and are  ,             Ok if that The of files Thank you have to The  ,             switch.   "
"R"," R", "613425","13:39:21.361022","172.16.112.100","172.16.114.168","SMTP","87","S: 250 OK Queued mail for delivery"
"R"," R", "613426","13:39:21.361307","172.16.114.168","172.16.112.100","SMTP","60","C: QUIT"
"R"," R", "613427","13:39:21.362736","172.16.112.100","172.16.114.168","SMTP","109","S: 250 OK Signing off.  Pleasure doing business with you"
"R"," R", "613428","13:39:21.369842","172.16.114.168","172.16.112.100","TCP","60","10804 → 25 [FIN, ACK] Seq=739 Ack=247 Win=32120 Len=0"
"R"," R", "613429","13:39:21.369986","172.16.112.100","172.16.114.168","TCP","60","25 → 10804 [ACK] Seq=247 Ack=740 Win=8022 Len=0"
"R"," R", "613430","13:39:21.370249","172.16.114.168","197.182.91.233","TCP","60","10805 → 25 [SYN] Seq=0 Win=512 Len=0 MSS=1460"
"R"," R", "613431","13:39:21.371197","197.182.91.233","172.16.114.168","TCP","60","25 → 10805 [SYN, ACK] Seq=0 Ack=1 Win=32736 Len=0 MSS=1460"
"R"," R", "613432","13:39:21.371283","172.16.112.100","172.16.114.168","TCP","60","25 → 10804 [FIN, ACK] Seq=247 Ack=740 Win=8022 Len=0"
