"netcat"," r2l", "297411","10:30:03.099513","172.16.112.20","172.16.118.255","RIPv1","66","Response"
"netcat"," r2l", "297412","10:30:03.562671","172.16.115.87","207.46.130.14","TCP","60","27278 → 80 [SYN] Seq=0 Win=512 Len=0 MSS=1460"
"netcat"," r2l", "297413","10:30:03.567843","207.46.130.14","172.16.115.87","TCP","60","80 → 27278 [SYN, ACK] Seq=0 Ack=1 Win=32736 Len=0 MSS=1460"
"netcat"," r2l", "297414","10:30:03.568022","172.16.115.87","207.46.130.14","TCP","60","27278 → 80 [ACK] Seq=1 Ack=1 Win=32120 Len=0"
"netcat"," r2l", "297415","10:30:03.568564","172.16.115.87","207.46.130.14","HTTP","318","GET / HTTP/1.0 "
"netcat"," r2l", "297416","10:30:03.585014","207.46.130.14","172.16.115.87","TCP","60","80 → 27278 [ACK] Seq=1 Ack=265 Win=32736 Len=0"
"netcat"," r2l", "297417","10:30:03.594780","207.46.130.14","172.16.115.87","TCP","1514","[TCP segment of a reassembled PDU]"
"netcat"," r2l", "297418","10:30:03.596009","207.46.130.14","172.16.115.87","TCP","1514","[TCP segment of a reassembled PDU]"
"netcat"," r2l", "297419","10:30:03.598329","172.16.115.87","207.46.130.14","TCP","60","27278 → 80 [ACK] Seq=265 Ack=2921 Win=32120 Len=0"
"netcat"," r2l", "297420","10:30:03.604737","207.46.130.14","172.16.115.87","TCP","1514","[TCP segment of a reassembled PDU]"
"netcat"," r2l", "297421","10:30:03.605981","207.46.130.14","172.16.115.87","TCP","1514","[TCP segment of a reassembled PDU]"
"netcat"," r2l", "297422","10:30:03.607213","207.46.130.14","172.16.115.87","TCP","1514","[TCP segment of a reassembled PDU]"
"netcat"," r2l", "297423","10:30:03.608338","172.16.115.87","207.46.130.14","TCP","60","27278 → 80 [ACK] Seq=265 Ack=7301 Win=32120 Len=0"
"netcat"," r2l", "297424","10:30:03.614565","207.46.130.14","172.16.115.87","TCP","1514","[TCP segment of a reassembled PDU]"
"netcat"," r2l", "297425","10:30:03.615800","207.46.130.14","172.16.115.87","TCP","1514","[TCP segment of a reassembled PDU]"
"netcat"," r2l", "297426","10:30:03.617040","207.46.130.14","172.16.115.87","TCP","1514","[TCP segment of a reassembled PDU]"
"netcat"," r2l", "297427","10:30:03.618271","207.46.130.14","172.16.115.87","TCP","1514","[TCP segment of a reassembled PDU]"
"netcat"," r2l", "297428","10:30:03.618345","172.16.115.87","207.46.130.14","TCP","60","27278 → 80 [ACK] Seq=265 Ack=11681 Win=32120 Len=0"
"netcat"," r2l", "297429","10:30:03.624632","207.46.130.14","172.16.115.87","TCP","1514","[TCP segment of a reassembled PDU]"
